feature_index,chemical_id,chemical_name
0,ETCM_XHCF_1,5-Desgalloylstachyurin
1,ETCM_XHCF_10,Paeonianin A
2,ETCM_XHCF_100,Fraxinellone
3,ETCM_XHCF_1000,Periploside C
4,ETCM_XHCF_1001,Plocoside B
5,ETCM_XHCF_1002,"5-Pregnene-3Î’,20Î‘-Diol"
6,ETCM_XHCF_1003,"5-Pregnene-3Î’,16Î‘,20Î‘-Triol"
7,ETCM_XHCF_1004,"5-Pregnene-3Î’,17Î‘,20Î‘-Triol"
8,ETCM_XHCF_1005,S-4A
9,ETCM_XHCF_1006,S-5
10,ETCM_XHCF_1007,S-10
11,ETCM_XHCF_1008,S-20
12,ETCM_XHCF_1009,S-I
13,ETCM_XHCF_101,Isomaculosidine
14,ETCM_XHCF_1010,Xysmalogenin
15,ETCM_XHCF_1011,Elsholtzidiol
16,ETCM_XHCF_1012,Auroxanthin
17,ETCM_XHCF_1013,Î‘-Ylangene
18,ETCM_XHCF_1014,Chinenoside Vi
19,ETCM_XHCF_1015,"(22S)-Cholest-5-Ene-1Î’,3Î’,16Î’,22-Tetraol-1-O-Î‘-L-Rhamnopyranosyl-16-O-Î’-D-Glucopyranoside"
20,ETCM_XHCF_1016,"(25R)-26-O-Î’-D-Glucopyranosyl-22-Hydroxy-5Î’-Furostane-3Î’,26-Diol 3-O-Î’-D-Glucopyranosyl-(1â†’2)-O-Î’-D-Galactopyranoside"
21,ETCM_XHCF_1017,"(25R)-26-O-Î’-D-Glucopyranosyl-22-Hydroxy-Furost-5(6)-Ene-3Î’,26-Diol-3-O-Î’-D-Glucopyranosyl(1â†’2)[Î’-D-Glucopyranosyl(1â†’3)]-Î’-D-Glucopyranosyl(1â†’4)-Î’-D-Galactopyranoside"
22,ETCM_XHCF_1018,Macrostemonoside A
23,ETCM_XHCF_1019,Macrostemonoside B
24,ETCM_XHCF_102,Kihadanin B
25,ETCM_XHCF_1020,Macrostemonoside C
26,ETCM_XHCF_1021,Macrostemonoside D
27,ETCM_XHCF_1022,Macrostemonoside E
28,ETCM_XHCF_1023,Macrostemonoside F
29,ETCM_XHCF_1024,Macrostemonoside G
30,ETCM_XHCF_1025,Macrostemonoside J
31,ETCM_XHCF_1026,Macrostemonoside L
