item,value
node_attributes_shape,"(3109, 24)"
node_attributes_edges,1982
node_chem_multihot_shape,"(3109, 7135)"
node_chem_multihot_edges,12330
node_herb_chemical_etcm_shape,"(3109, 7135)"
node_herb_chemical_etcm_edges,10203
node_chem_fingerprint_shape,"(3109, 167)"
fingerprint_herb_hits,402
fingerprint_avg_components,30.154228855721392
node_chem_dense_shape,"(3109, 768)"
chem_dense_encoded_components,7135
chem_dense_herb_hits,402
chem_dense_avg_components,30.671641791044777
node_disease_text_shape,"(3109, 768)"
disease_text_hits,2703
