node_id,node_index,node_type,name,source
ETCM_disease_id_2,0,disease,3-Methylglutaric Aciduria,existing
ETCM_disease_id_4,1,disease,4-Hydroxyphenylpyruvic Aciduria,existing
ETCM_disease_id_5,2,disease,5-Oxoprolinase Deficiency,existing
ETCM_disease_id_6,3,disease,Abdominal Aortic Aneurysm,existing
ETCM_disease_id_7,4,disease,Abdominal Colic,existing
ETCM_disease_id_8,5,disease,Abdominal Distention,existing
ETCM_disease_id_9,6,disease,Abdominal Mass,existing
ETCM_disease_id_11,7,disease,Abdominal Pain,existing
ETCM_disease_id_12,8,disease,Abdominal Wall Muscle Weakness,existing
ETCM_disease_id_13,9,disease,Abducens Palsy,existing
ETCM_disease_id_15,10,disease,Abetalipoproteinemia,existing
ETCM_disease_id_19,11,disease,Abnormal Apolipoprotein Level,existing
ETCM_disease_id_21,12,disease,Abnormal Autonomic Nervous System Physiology,existing
ETCM_disease_id_22,13,disease,Abnormal Basophil Morphology,existing
ETCM_disease_id_23,14,disease,Abnormal Bleeding,existing
ETCM_disease_id_24,15,disease,Abnormal Blistering Of The Skin,existing
ETCM_disease_id_26,16,disease,Abnormal Bone Structure,existing
ETCM_disease_id_28,17,disease,Abnormal C-Peptide Level,existing
ETCM_disease_id_31,18,disease,Abnormal Circulating Aldosterone,existing
ETCM_disease_id_34,19,disease,Abnormal Circulating Renin,existing
ETCM_disease_id_38,20,disease,Abnormal Eating Behavior,existing
ETCM_disease_id_39,21,disease,Abnormal Echocardiogram,existing
ETCM_disease_id_40,22,disease,Abnormal Ekg,existing
ETCM_disease_id_41,23,disease,Abnormal Electroretinogram,existing
ETCM_disease_id_42,24,disease,Abnormal Enchondral Ossification,existing
ETCM_disease_id_43,25,disease,Abnormal Enzyme/Coenzyme Activity,existing
ETCM_disease_id_45,26,disease,Abnormal Erythrocyte Morphology,existing
ETCM_disease_id_46,27,disease,Abnormal Eyelash Morphology,existing
ETCM_disease_id_49,28,disease,Abnormal Foot Bone Ossification,existing
ETCM_disease_id_50,29,disease,Abnormal Globus Pallidus Morphology,existing
ETCM_disease_id_52,30,disease,Abnormal Glycosylation,existing
ETCM_disease_id_53,31,disease,Abnormal Granulocytopoietic Cell Morphology,existing
ETCM_disease_id_54,32,disease,Abnormal Hair Pattern,existing
ETCM_disease_id_55,33,disease,Abnormal Hair Quantity,existing
ETCM_disease_id_57,34,disease,Abnormal Head Movements,existing
ETCM_disease_id_58,35,disease,Abnormal Hemoglobin,existing
ETCM_disease_id_59,36,disease,Abnormal Immunoglobulin Level,existing
ETCM_disease_id_60,37,disease,Abnormal Intestine Morphology,existing
ETCM_disease_id_61,38,disease,Abnormal Involuntary Eye Movements,existing
ETCM_disease_id_64,39,disease,Abnormal Isoelectric Focusing Of Serum Transferrin,existing
ETCM_disease_id_67,40,disease,Abnormal Large Intestine Morphology,existing
ETCM_disease_id_69,41,disease,Abnormal Leukocyte Morphology,existing
ETCM_disease_id_70,42,disease,Abnormal Levels Of Creatine Kinase In Blood,existing
ETCM_disease_id_71,43,disease,Abnormal Light- And Dark-Adapted Electroretinogram,existing
ETCM_disease_id_72,44,disease,Abnormal Lower Motor Neuron Morphology,existing
ETCM_disease_id_73,45,disease,Abnormal Metaphyseal Vascular Invasion,existing
ETCM_disease_id_74,46,disease,Abnormal Middle Ear Reflexes,existing
ETCM_disease_id_75,47,disease,Abnormal Mitochondria In Muscle Tissue,existing
ETCM_disease_id_76,48,disease,Abnormal Mitochondrial Morphology,existing
ETCM_disease_id_81,49,disease,Abnormal Oral Glucose Tolerance,existing
ETCM_disease_id_82,50,disease,Abnormal Pattern Of Respiration,existing
ETCM_disease_id_85,51,disease,Abnormal Platelet Function,existing
ETCM_disease_id_87,52,disease,Abnormal Platelet Morphology,existing
ETCM_disease_id_89,53,disease,Abnormal Prolactin Level,existing
ETCM_disease_id_91,54,disease,Abnormal Rapid Eye Movement Sleep,existing
ETCM_disease_id_92,55,disease,Abnormal Renal Morphology,existing
ETCM_disease_id_93,56,disease,Abnormal Renal Physiology,existing
ETCM_disease_id_94,57,disease,Abnormal Serum Dehydroepiandrosterone Level,existing
ETCM_disease_id_95,58,disease,Abnormal Serum Testosterone Level,existing
ETCM_disease_id_96,59,disease,Abnormal Social Behavior,existing
ETCM_disease_id_98,60,disease,Abnormal Subcutaneous Fat Tissue Distribution,existing
ETCM_disease_id_100,61,disease,Abnormal Thrombocyte Morphology,existing
ETCM_disease_id_101,62,disease,Abnormal Thrombosis,existing
ETCM_disease_id_103,63,disease,Abnormal Upper Motor Neuron Morphology,existing
ETCM_disease_id_104,64,disease,Abnormal Urinary Color,existing
ETCM_disease_id_105,65,disease,Abnormal Urine Alpha-Ketoglutarate Concentration,existing
ETCM_disease_id_107,66,disease,Abnormality Of Acetylcarnitine Metabolism,existing
ETCM_disease_id_108,67,disease,Abnormality Of Amino Acid Metabolism,existing
ETCM_disease_id_109,68,disease,Abnormality Of B Cell Physiology,existing
ETCM_disease_id_110,69,disease,Abnormality Of Blood And Blood-Forming Tissues,existing
ETCM_disease_id_111,70,disease,Abnormality Of Body Height,existing
ETCM_disease_id_112,71,disease,Abnormality Of Bone Marrow Cell Morphology,existing
ETCM_disease_id_114,72,disease,Abnormality Of Branched Chain Family Amino Acid Metabolism,existing
ETCM_disease_id_115,73,disease,Abnormality Of Calcium-Phosphate Metabolism,existing
ETCM_disease_id_116,74,disease,Abnormality Of Carboxylic Acid Metabolism,existing
ETCM_disease_id_117,75,disease,Abnormality Of Cardiovascular System Morphology,existing
ETCM_disease_id_121,76,disease,Abnormality Of Chromosome Stability,existing
ETCM_disease_id_122,77,disease,Abnormality Of Circulating Adrenocorticotropin Level,existing
ETCM_disease_id_123,78,disease,Abnormality Of Circulating Enzyme Level,existing
ETCM_disease_id_125,79,disease,Abnormality Of Coagulation,existing
ETCM_disease_id_126,80,disease,Abnormality Of Color Vision,existing
ETCM_disease_id_128,81,disease,Abnormality Of Connective Tissue,existing
ETCM_disease_id_129,82,disease,Abnormality Of Creatine Metabolism,existing
ETCM_disease_id_130,83,disease,Abnormality Of Dental Color,existing
ETCM_disease_id_131,84,disease,Abnormality Of Dental Enamel,existing
ETCM_disease_id_132,85,disease,Abnormality Of Earlobe,existing
ETCM_disease_id_133,86,disease,Abnormality Of Exocrine Pancreas Physiology,existing
ETCM_disease_id_134,87,disease,Abnormality Of Extrapyramidal Motor Function,existing
ETCM_disease_id_135,88,disease,Abnormality Of Eye Movement,existing
ETCM_disease_id_136,89,disease,Abnormality Of Fatty-Acid Metabolism,existing
ETCM_disease_id_137,90,disease,Abnormality Of Female External Genitalia,existing
ETCM_disease_id_138,91,disease,Abnormality Of Female Internal Genitalia,existing
ETCM_disease_id_141,92,disease,Abnormality Of Glycosphingolipid Metabolism,existing
ETCM_disease_id_145,93,disease,Abnormality Of Hair Texture,existing
ETCM_disease_id_146,94,disease,Abnormality Of Histidine Metabolism,existing
ETCM_disease_id_147,95,disease,Abnormality Of Immune System Physiology,existing
ETCM_disease_id_148,96,disease,Abnormality Of Iron Homeostasis,existing
ETCM_disease_id_149,97,disease,Abnormality Of Leucine Metabolism,existing
ETCM_disease_id_150,98,disease,Abnormality Of Lipid Metabolism,existing
ETCM_disease_id_152,99,disease,Abnormality Of Male Internal Genitalia,existing
ETCM_disease_id_153,100,disease,Abnormality Of Masticatory Muscle,existing
ETCM_disease_id_154,101,disease,Abnormality Of Metabolism/Homeostasis,existing
ETCM_disease_id_155,102,disease,Abnormality Of Mitochondrial Metabolism,existing
ETCM_disease_id_156,103,disease,Abnormality Of Movement,existing
ETCM_disease_id_161,104,disease,Abnormality Of Neck Blood Vessel,existing
ETCM_disease_id_162,105,disease,Abnormality Of Nervous System Morphology,existing
ETCM_disease_id_163,106,disease,Abnormality Of Neuronal Migration,existing
ETCM_disease_id_164,107,disease,Abnormality Of Neutrophil Physiology,existing
ETCM_disease_id_165,108,disease,Abnormality Of Neutrophils,existing
ETCM_disease_id_166,109,disease,Abnormality Of Ocular Abduction,existing
ETCM_disease_id_170,110,disease,Abnormality Of Renal Excretion,existing
ETCM_disease_id_171,111,disease,Abnormality Of Reproductive System Physiology,existing
ETCM_disease_id_174,112,disease,Abnormality Of Skeletal Muscles,existing
ETCM_disease_id_175,113,disease,Abnormality Of Skin Pigmentation,existing
ETCM_disease_id_176,114,disease,Abnormality Of Temperature Regulation,existing
ETCM_disease_id_178,115,disease,Abnormality Of The Abdominal Wall,existing
ETCM_disease_id_180,116,disease,Abnormality Of The Ankles,existing
ETCM_disease_id_181,117,disease,Abnormality Of The Anus,existing
ETCM_disease_id_182,118,disease,Abnormality Of The Autonomic Nervous System,existing
ETCM_disease_id_183,119,disease,Abnormality Of The Basal Ganglia,existing
ETCM_disease_id_185,120,disease,Abnormality Of The Cerebral Vasculature,existing
ETCM_disease_id_186,121,disease,Abnormality Of The Cerebral White Matter,existing
ETCM_disease_id_188,122,disease,Abnormality Of The Coagulation Cascade,existing
ETCM_disease_id_189,123,disease,Abnormality Of The Corticospinal Tract,existing
ETCM_disease_id_191,124,disease,Abnormality Of The Ear,existing
ETCM_disease_id_193,125,disease,Abnormality Of The Endocrine System,existing
ETCM_disease_id_194,126,disease,Abnormality Of The Extraocular Muscles,existing
ETCM_disease_id_195,127,disease,Abnormality Of The Face,existing
ETCM_disease_id_196,128,disease,Abnormality Of The Fallopian Tube,existing
ETCM_disease_id_197,129,disease,Abnormality Of The Fingernails,existing
ETCM_disease_id_200,130,disease,Abnormality Of The Gallbladder,existing
ETCM_disease_id_201,131,disease,Abnormality Of The Gastric Mucosa,existing
ETCM_disease_id_202,132,disease,Abnormality Of The Genital System,existing
ETCM_disease_id_203,133,disease,Abnormality Of The Genitourinary System,existing
ETCM_disease_id_204,134,disease,Abnormality Of The Gingiva,existing
ETCM_disease_id_207,135,disease,Abnormality Of The Immune System,existing
ETCM_disease_id_208,136,disease,Abnormality Of The Intervertebral Disk,existing
ETCM_disease_id_209,137,disease,Abnormality Of The Intrinsic Pathway,existing
ETCM_disease_id_210,138,disease,Abnormality Of The Kidney,existing
ETCM_disease_id_211,139,disease,Abnormality Of The Knee,existing
ETCM_disease_id_212,140,disease,Abnormality Of The Labia,existing
ETCM_disease_id_213,141,disease,Abnormality Of The Larynx,existing
ETCM_disease_id_215,142,disease,Abnormality Of The Liver,existing
ETCM_disease_id_216,143,disease,Abnormality Of The Lower Limb,existing
ETCM_disease_id_218,144,disease,Abnormality Of The Lymphatic System,existing
ETCM_disease_id_219,145,disease,Abnormality Of The Menstrual Cycle,existing
ETCM_disease_id_220,146,disease,Abnormality Of The Mitochondrion,existing
ETCM_disease_id_221,147,disease,Abnormality Of The Mouth,existing
ETCM_disease_id_222,148,disease,Abnormality Of The Musculature,existing
ETCM_disease_id_223,149,disease,Abnormality Of The Neck,existing
ETCM_disease_id_224,150,disease,Abnormality Of The Nervous System,existing
ETCM_disease_id_225,151,disease,Abnormality Of The Nose,existing
ETCM_disease_id_226,152,disease,Abnormality Of The Optic Nerve,existing
ETCM_disease_id_227,153,disease,Abnormality Of The Pancreas,existing
ETCM_disease_id_228,154,disease,Abnormality Of The Pancreatic Islet Cells,existing
ETCM_disease_id_230,155,disease,Abnormality Of The Penis,existing
ETCM_disease_id_232,156,disease,Abnormality Of The Peritoneum,existing
ETCM_disease_id_233,157,disease,Abnormality Of The Periventricular White Matter,existing
ETCM_disease_id_234,158,disease,Abnormality Of The Pharynx,existing
ETCM_disease_id_235,159,disease,Abnormality Of The Philtrum,existing
ETCM_disease_id_236,160,disease,Abnormality Of The Pleura,existing
ETCM_disease_id_238,161,disease,Abnormality Of The Respiratory System,existing
ETCM_disease_id_239,162,disease,Abnormality Of The Retinal Vasculature,existing
ETCM_disease_id_240,163,disease,Abnormality Of The Sacroiliac Joint,existing
ETCM_disease_id_241,164,disease,Abnormality Of The Scrotum,existing
ETCM_disease_id_247,165,disease,Abnormality Of The Spleen,existing
ETCM_disease_id_249,166,disease,Abnormality Of The Testis,existing
ETCM_disease_id_250,167,disease,Abnormality Of The Tongue,existing
ETCM_disease_id_251,168,disease,Abnormality Of The Tonsils,existing
ETCM_disease_id_252,169,disease,Abnormality Of The Upper Urinary Tract,existing
ETCM_disease_id_253,170,disease,Abnormality Of The Urinary System,existing
ETCM_disease_id_254,171,disease,Abnormality Of The Uterus,existing
ETCM_disease_id_255,172,disease,Abnormality Of The Vasculature,existing
ETCM_disease_id_257,173,disease,Abnormality Of The Wrist,existing
ETCM_disease_id_258,174,disease,Abnormality Of Thyroid Physiology,existing
ETCM_disease_id_259,175,disease,Abnormality Of Tryptophan Metabolism,existing
ETCM_disease_id_260,176,disease,Abnormality Of Tyrosine Metabolism,existing
ETCM_disease_id_261,177,disease,Abnormality Of Vision,existing
ETCM_disease_id_262,178,disease,Abnormality Of Visual Evoked Potentials,existing
ETCM_disease_id_264,179,disease,Abnormality Of Vitamin D Metabolism,existing
ETCM_disease_id_266,180,disease,Abnormality Of Vitamin Metabolism,existing
ETCM_disease_id_270,181,disease,Absence Of Bactericidal Oxidative Respiratory Burst In Phagocytes,existing
ETCM_disease_id_273,182,disease,Absence Of Lymph Node Germinal Center,existing
ETCM_disease_id_274,183,disease,Absence Of Pubertal Development,existing
ETCM_disease_id_275,184,disease,Absence Of Secondary Sex Characteristics,existing
ETCM_disease_id_277,185,disease,Absence Seizures,existing
ETCM_disease_id_278,186,disease,Absent Achilles Reflex,existing
ETCM_disease_id_279,187,disease,Absent Axillary Hair,existing
ETCM_disease_id_281,188,disease,Absent Facial Hair,existing
ETCM_disease_id_287,189,disease,Absent Pubic Hair,existing
ETCM_disease_id_288,190,disease,Absent Specific Antibody Response,existing
ETCM_disease_id_290,191,disease,Abulia,existing
ETCM_disease_id_291,192,disease,Acanthocytosis,existing
ETCM_disease_id_292,193,disease,Acanthosis Nigricans,existing
ETCM_disease_id_293,194,disease,Accelerated Atherosclerosis,existing
ETCM_disease_id_295,195,disease,Accelerated Skeletal Maturation,existing
ETCM_disease_id_296,196,disease,Achalasia,existing
ETCM_disease_id_298,197,disease,Acid-Related Diseases,existing
ETCM_disease_id_300,198,disease,Acne,existing
ETCM_disease_id_302,199,disease,Acne Vulgaris,existing
ETCM_disease_id_304,200,disease,Acral Ulceration,existing
ETCM_disease_id_305,201,disease,Acrocyanosis,existing
ETCM_disease_id_308,202,disease,"Acth Syndrome, Ectopic",existing
ETCM_disease_id_309,203,disease,Action Tremor,existing
ETCM_disease_id_313,204,disease,Acute Cardiac Allograft Rejection,existing
ETCM_disease_id_314,205,disease,Acute Coronary Syndromes,existing
ETCM_disease_id_318,206,disease,Acute Hepatic Failure,existing
ETCM_disease_id_319,207,disease,Acute Hepatic Steatosis,existing
ETCM_disease_id_320,208,disease,Acute Hepatitis,existing
ETCM_disease_id_321,209,disease,Acute Hyperammonaemia,existing
ETCM_disease_id_322,210,disease,Acute Kidney Injury,existing
ETCM_disease_id_323,211,disease,Acute Leukaemia,existing
ETCM_disease_id_325,212,disease,Acute Lung Injury,existing
ETCM_disease_id_326,213,disease,Acute Lymphoblastic Leukaemia,existing
ETCM_disease_id_327,214,disease,Acute Migraine,existing
ETCM_disease_id_328,215,disease,Acute Non-Lymphocytic Leukaemia,existing
ETCM_disease_id_329,216,disease,Acute Otitis Media,existing
ETCM_disease_id_334,217,disease,Acute Ureteric Colic,existing
ETCM_disease_id_336,218,disease,Acutely Decompensated Congestive Heart Failure,existing
ETCM_disease_id_339,219,disease,Adenocarcinoma Of Lung (Disorder),existing
ETCM_disease_id_341,220,disease,Adenoma Sebaceum,existing
ETCM_disease_id_343,221,disease,Adenomatous Polyposis,existing
ETCM_disease_id_344,222,disease,Adipose Tissue Loss,existing
ETCM_disease_id_347,223,disease,Adrenal Hyperplasia,existing
ETCM_disease_id_348,224,disease,Adrenal Pheochromocytoma,existing
ETCM_disease_id_349,225,disease,Adrenocortical Adenoma,existing
ETCM_disease_id_350,226,disease,Adrenocortical Carcinoma,existing
ETCM_disease_id_353,227,disease,Adrenocorticotrophic Hormone-Secreting Pituitary Tumor,existing
