relation,src_node_id,dst_node_id,src_node_index,dst_node_index,jaccard,shared_genes
disease_gene_jaccard,ETCM_disease_id_1006,ETCM_disease_id_2103,632,1352,0.3442906439304352,199
disease_gene_jaccard,ETCM_disease_id_1021,ETCM_disease_id_3180,639,2019,0.24561403691768646,14
disease_gene_jaccard,ETCM_disease_id_1021,ETCM_disease_id_1194,639,737,0.24561403691768646,14
disease_gene_jaccard,ETCM_disease_id_1028,ETCM_disease_id_85,642,51,0.3513513505458832,13
disease_gene_jaccard,ETCM_disease_id_103,ETCM_disease_id_3466,63,2196,0.3571428656578064,5
disease_gene_jaccard,ETCM_disease_id_1041,ETCM_disease_id_3572,647,2261,0.3571428656578064,5
disease_gene_jaccard,ETCM_disease_id_1048,ETCM_disease_id_3421,653,2165,0.6829268336296082,28
disease_gene_jaccard,ETCM_disease_id_1049,ETCM_disease_id_1088,654,676,0.7142857313156128,5
disease_gene_jaccard,ETCM_disease_id_1058,ETCM_disease_id_89,658,53,0.5333333611488342,8
disease_gene_jaccard,ETCM_disease_id_1059,ETCM_disease_id_1067,659,663,0.3125,5
disease_gene_jaccard,ETCM_disease_id_1061,ETCM_disease_id_2184,661,1396,0.3499999940395355,7
disease_gene_jaccard,ETCM_disease_id_1067,ETCM_disease_id_1951,663,1240,0.3499999940395355,7
disease_gene_jaccard,ETCM_disease_id_1070,ETCM_disease_id_3155,664,2004,0.37288135290145874,22
disease_gene_jaccard,ETCM_disease_id_1070,ETCM_disease_id_2102,664,1351,0.35384616255760193,23
disease_gene_jaccard,ETCM_disease_id_1070,ETCM_disease_id_1310,664,817,0.3333333432674408,22
disease_gene_jaccard,ETCM_disease_id_1071,ETCM_disease_id_3509,665,2225,0.7096773982048035,22
disease_gene_jaccard,ETCM_disease_id_1071,ETCM_disease_id_2665,665,1672,0.6285714507102966,22
disease_gene_jaccard,ETCM_disease_id_1072,ETCM_disease_id_3317,666,2107,0.25190839171409607,33
disease_gene_jaccard,ETCM_disease_id_1075,ETCM_disease_id_4281,669,2698,0.3125,5
disease_gene_jaccard,ETCM_disease_id_1083,ETCM_disease_id_3661,673,2315,0.2884615361690521,15
disease_gene_jaccard,ETCM_disease_id_1086,ETCM_disease_id_1980,674,1261,0.875,7
disease_gene_jaccard,ETCM_disease_id_1086,ETCM_disease_id_1087,674,675,0.875,7
disease_gene_jaccard,ETCM_disease_id_1087,ETCM_disease_id_1086,675,674,0.875,7
disease_gene_jaccard,ETCM_disease_id_1088,ETCM_disease_id_1049,676,654,0.7142857313156128,5
disease_gene_jaccard,ETCM_disease_id_1090,ETCM_disease_id_1269,677,787,0.30000001192092896,33
disease_gene_jaccard,ETCM_disease_id_1093,ETCM_disease_id_4025,679,2534,0.20000000298023224,12
disease_gene_jaccard,ETCM_disease_id_1094,ETCM_disease_id_1114,680,691,0.20000000298023224,5
disease_gene_jaccard,ETCM_disease_id_1095,ETCM_disease_id_1090,681,677,0.2545454502105713,14
disease_gene_jaccard,ETCM_disease_id_11,ETCM_disease_id_2872,7,1798,0.3524904251098633,92
disease_gene_jaccard,ETCM_disease_id_11,ETCM_disease_id_4267,7,2686,0.28409090638160706,75
disease_gene_jaccard,ETCM_disease_id_1101,ETCM_disease_id_1231,683,764,0.38461539149284363,5
disease_gene_jaccard,ETCM_disease_id_111,ETCM_disease_id_2196,70,1405,1.0,18
disease_gene_jaccard,ETCM_disease_id_111,ETCM_disease_id_274,70,183,0.8181818127632141,18
disease_gene_jaccard,ETCM_disease_id_1114,ETCM_disease_id_1094,691,680,0.20000000298023224,5
disease_gene_jaccard,ETCM_disease_id_1123,ETCM_disease_id_3886,694,2453,0.41999998688697815,21
disease_gene_jaccard,ETCM_disease_id_1123,ETCM_disease_id_3094,694,1956,0.37931033968925476,11
disease_gene_jaccard,ETCM_disease_id_1123,ETCM_disease_id_212,694,140,0.37931033968925476,11
disease_gene_jaccard,ETCM_disease_id_1128,ETCM_disease_id_1123,698,694,0.22580644488334656,7
disease_gene_jaccard,ETCM_disease_id_1134,ETCM_disease_id_3174,701,2014,0.4545454680919647,5
disease_gene_jaccard,ETCM_disease_id_1135,ETCM_disease_id_275,702,184,0.6458333134651184,31
disease_gene_jaccard,ETCM_disease_id_1135,ETCM_disease_id_274,702,183,0.5833333134651184,21
disease_gene_jaccard,ETCM_disease_id_1135,ETCM_disease_id_2196,702,1405,0.5142857432365417,18
disease_gene_jaccard,ETCM_disease_id_1135,ETCM_disease_id_111,702,70,0.5142857432365417,18
disease_gene_jaccard,ETCM_disease_id_1158,ETCM_disease_id_1429,713,899,0.3571428656578064,5
disease_gene_jaccard,ETCM_disease_id_1159,ETCM_disease_id_4139,714,2605,0.25925925374031067,21
disease_gene_jaccard,ETCM_disease_id_1164,ETCM_disease_id_1006,716,632,0.2286585420370102,150
disease_gene_jaccard,ETCM_disease_id_1169,ETCM_disease_id_3243,721,2059,0.22857142984867096,8
disease_gene_jaccard,ETCM_disease_id_1170,ETCM_disease_id_3172,722,2012,0.260869562625885,42
disease_gene_jaccard,ETCM_disease_id_1179,ETCM_disease_id_96,727,59,0.5833333134651184,7
