id,name
ETCM_XHCF_1,5-Desgalloylstachyurin
ETCM_XHCF_2,Eugeniin
ETCM_XHCF_3,1-O-Galloyl-Glucose
ETCM_XHCF_4,3-O-Galloyl Quinic Acid
ETCM_XHCF_5,4-O-Galloyl Quinic Acid
ETCM_XHCF_6,"2,3-O-(S)-Hexahydroxydiphenoyl-D-Glucopyranose"
ETCM_XHCF_7,13-Methyl Tetradecanoic Acid
ETCM_XHCF_8,Oxypaeoniflorin
ETCM_XHCF_9,Paeonianiin E
ETCM_XHCF_10,Paeonianin A
ETCM_XHCF_11,Paeonianin B
ETCM_XHCF_12,Paeonianin C
ETCM_XHCF_13,Paeonianin D
ETCM_XHCF_14,Paeoniflorigenone
ETCM_XHCF_15,Paeoniflorin
ETCM_XHCF_16,Paeonilactone A
ETCM_XHCF_17,Paeonilactone B
ETCM_XHCF_18,Paeonilactone C
ETCM_XHCF_19,"Paeonol,Scopoletin"
ETCM_XHCF_20,Palbinone
ETCM_XHCF_21,Pedunculagin
ETCM_XHCF_22,Peonin
ETCM_XHCF_23,Phenol
ETCM_XHCF_24,Pyrethrin I
ETCM_XHCF_25,Pyrethrin Ii
ETCM_XHCF_26,Strictinin
ETCM_XHCF_27,Tellimagrandin I
ETCM_XHCF_28,"1,2,4,6-Tetra-O-Galloyl-Î’-D-Glucose"
ETCM_XHCF_29,"1,2,3-Tri-O-Galloyl-Î’-D-Glucose"
ETCM_XHCF_30,"1,2,6-Tri-O-Galloyl-Î’-D-Glucose"
ETCM_XHCF_31,"1,3,6-Trigalloyl-Î’-D-Glucose"
ETCM_XHCF_32,Atractylenolide III
ETCM_XHCF_33,"Agarospirol,Hinesol"
ETCM_XHCF_34,Î’-Humulene
ETCM_XHCF_35,Î’-Elemol
ETCM_XHCF_36,6-Methoxy-7-Hydroxycoumarin
ETCM_XHCF_37,Atractylenolide I
ETCM_XHCF_38,Atractylentriol
ETCM_XHCF_39,Atractylone
ETCM_XHCF_40,8Î’-Ethoxy Atractylenolide Iii
ETCM_XHCF_41,"(+)-Eudesma-4(15),7(11)-Dien-8-One"
ETCM_XHCF_42,Juniper Camphor
ETCM_XHCF_43,"12-(Î‘-Methyl Butyryl)-14-Acetyl-2E,8E,10E-Atractylentriol"
ETCM_XHCF_44,"12-(Î‘-Methyl Butyryl)-14-Acetyl-2E,8Z,10E-Atractylentriol"
ETCM_XHCF_45,"14(Î‘-Methyl Butyryl)-2E,8E,10E-Atractylentriol"
ETCM_XHCF_46,"14(Î‘-Methyl Butyryl)-2E,8Z,10E-Atractylentriol"
ETCM_XHCF_47,Pulsatiloside A
ETCM_XHCF_48,Betulinic Acid
ETCM_XHCF_49,Leontoside B
ETCM_XHCF_50,Leontoside A
ETCM_XHCF_51,Calcoside D
ETCM_XHCF_52,3Î’-Acetoxyolean-12-En-28-Oic Acid
ETCM_XHCF_53,Anemonol
ETCM_XHCF_54,Anemosapogenin
ETCM_XHCF_55,Anemoside A3
ETCM_XHCF_56,Anemoside B4
ETCM_XHCF_57,Cauloside A
ETCM_XHCF_58,Cussosaponin C
ETCM_XHCF_59,"3Î’,23-Dihydroxy-Lup-20(29)-Ene-28-O-Î’-D-Glucopyranosyl-(1â†’6)-Î’-D-Glucopyranoside"
ETCM_XHCF_60,"3Î’,23-Dihydroxy-Lup-20(29)-Ene-28-O-Î‘-L-Rhamnopyranosyl-(1â†’4)-Î’-D-Glucopyranosyl-(1â†’6)-Î’-D-Glucopyranoside"
ETCM_XHCF_61,"20,23-Dihydroxy-3Î’-[(O-Î‘-L-Rhamnopyranosyl-(1â†’2)-Î‘-L-Arabinopyranosyl)Oxy]Lupan-28-Oic Acid 28-O-Î‘-L-Rhamnopyranosyl-(1â†’4)-O-Î’-D-Glucopyranosyl-(1â†’6)-Î’-D-Glucopyranosyl Ester"
ETCM_XHCF_62,Hederagenin
ETCM_XHCF_63,23-Hydroxy-3Î’-[(O-Î‘-L-Rhamnopyranosyl-(1â†’2)-O-[Î’-D-Glucopyranosyl-(1â†’4)]-Î‘-L-Arabinopyranosyl)Oxy]Lup-20(29)-En-28-Oic Acid 28-O-Î‘-L-Rhamnopyranosyl-(1â†’4)-O-Î’-D-Glucopyranosyl-(1â†’6)-Î’-D-Glucopyranosyl Ester
ETCM_XHCF_64,23-Hydroxy-3Î’-[(O-Î‘-L-Rhamnopyranosyl-(1â†’2)-O-[O-Î’-D-Glucopyranosyl-(1â†’4)-Î’-D-Glucopyranosyl-(1â†’4)]-Î‘-L-Arabinopyranosyl)Oxy]Lup-20(29)-En-28-Oic Acid 28-O-Î‘-L-Rhamnopyranosyl-(1â†’4)-O-Î’-D-Glucopyranosyl-(1â†’6)-Î’-D-Glucopyranosyl Ester
