id,name,source
ETCM_XHCF_1,5-Desgalloylstachyurin,existing
ETCM_XHCF_2,Eugeniin,existing
ETCM_XHCF_3,1-O-Galloyl-Glucose,existing
ETCM_XHCF_4,3-O-Galloyl Quinic Acid,existing
ETCM_XHCF_5,4-O-Galloyl Quinic Acid,existing
ETCM_XHCF_6,"2,3-O-(S)-Hexahydroxydiphenoyl-D-Glucopyranose",existing
ETCM_XHCF_7,13-Methyl Tetradecanoic Acid,existing
ETCM_XHCF_8,Oxypaeoniflorin,existing
ETCM_XHCF_9,Paeonianiin E,existing
ETCM_XHCF_10,Paeonianin A,existing
ETCM_XHCF_11,Paeonianin B,existing
ETCM_XHCF_12,Paeonianin C,existing
ETCM_XHCF_13,Paeonianin D,existing
ETCM_XHCF_14,Paeoniflorigenone,existing
ETCM_XHCF_15,Paeoniflorin,existing
ETCM_XHCF_16,Paeonilactone A,existing
ETCM_XHCF_17,Paeonilactone B,existing
ETCM_XHCF_18,Paeonilactone C,existing
ETCM_XHCF_19,"Paeonol,Scopoletin",existing
ETCM_XHCF_20,Palbinone,existing
ETCM_XHCF_21,Pedunculagin,existing
ETCM_XHCF_22,Peonin,existing
ETCM_XHCF_23,Phenol,existing
ETCM_XHCF_24,Pyrethrin I,existing
ETCM_XHCF_25,Pyrethrin Ii,existing
ETCM_XHCF_26,Strictinin,existing
ETCM_XHCF_27,Tellimagrandin I,existing
ETCM_XHCF_28,"1,2,4,6-Tetra-O-Galloyl-Î’-D-Glucose",existing
ETCM_XHCF_29,"1,2,3-Tri-O-Galloyl-Î’-D-Glucose",existing
ETCM_XHCF_30,"1,2,6-Tri-O-Galloyl-Î’-D-Glucose",existing
ETCM_XHCF_31,"1,3,6-Trigalloyl-Î’-D-Glucose",existing
ETCM_XHCF_32,Atractylenolide III,existing
ETCM_XHCF_33,"Agarospirol,Hinesol",existing
ETCM_XHCF_34,Î’-Humulene,existing
ETCM_XHCF_35,Î’-Elemol,existing
ETCM_XHCF_36,6-Methoxy-7-Hydroxycoumarin,existing
ETCM_XHCF_37,Atractylenolide I,existing
ETCM_XHCF_38,Atractylentriol,existing
ETCM_XHCF_39,Atractylone,existing
ETCM_XHCF_40,8Î’-Ethoxy Atractylenolide Iii,existing
ETCM_XHCF_41,"(+)-Eudesma-4(15),7(11)-Dien-8-One",existing
ETCM_XHCF_42,Juniper Camphor,existing
ETCM_XHCF_43,"12-(Î‘-Methyl Butyryl)-14-Acetyl-2E,8E,10E-Atractylentriol",existing
ETCM_XHCF_44,"12-(Î‘-Methyl Butyryl)-14-Acetyl-2E,8Z,10E-Atractylentriol",existing
ETCM_XHCF_45,"14(Î‘-Methyl Butyryl)-2E,8E,10E-Atractylentriol",existing
ETCM_XHCF_46,"14(Î‘-Methyl Butyryl)-2E,8Z,10E-Atractylentriol",existing
ETCM_XHCF_47,Pulsatiloside A,existing
ETCM_XHCF_48,Betulinic Acid,existing
ETCM_XHCF_49,Leontoside B,existing
ETCM_XHCF_50,Leontoside A,existing
ETCM_XHCF_51,Calcoside D,existing
