id,name,etcm_id
ETCM_chemical_id_6,1R-Alpha-Pinene,6
ETCM_chemical_id_33,"7-Hydroxycoumarin,Skimmetin,Umbelliferone",33
ETCM_chemical_id_36,"(Trans-Trans)Farnesol,3,7,11-Trimethyldodeca-2,6,10-Trien-1-Ol,Farnesol",36
ETCM_chemical_id_37,(Cis-Trans)Farnesol,37
ETCM_chemical_id_38,"Alpha-Humulene,Humulene,Î‘-Humulene",38
ETCM_chemical_id_39,"1-Terpineol,Î’-Terpineol",39
ETCM_chemical_id_40,"Vinyl 2,2-Dimethyl-3-Phenyl-Propionate",40
ETCM_chemical_id_41,2-Hexenal,41
ETCM_chemical_id_42,2-Methylbutanol,42
ETCM_chemical_id_43,2-Methanol Tetrahydropyran,43
ETCM_chemical_id_44,3-Nonanone,44
ETCM_chemical_id_45,"1-Octen-3-Ol,3-Octenol",45
ETCM_chemical_id_46,"4,5-Di-O-Caffeoylquinic Acid",46
ETCM_chemical_id_47,Methyl Isoeugenol,47
ETCM_chemical_id_48,Eupatilin,48
ETCM_chemical_id_49,7-Octen-4-Ol,49
ETCM_chemical_id_50,"4(10)-Thujene,Î‘-Thujene",50
ETCM_chemical_id_51,Î‘-Copaene,51
ETCM_chemical_id_52,Î‘-Guriunene,52
ETCM_chemical_id_53,"1-(1,5-Dimethyl-4-Hexenyl)-4-Methyl Benzene,Î‘-Curcumene",53
ETCM_chemical_id_54,"Î‘-Curcumene,Î‘-Curcumene(R-)",54
ETCM_chemical_id_55,"(E,E)-Î‘-Farnesene,3,7,11-Trimethyldodeca-1,3,6,10-Tetraene,Farnesene,Î‘-Farnesene",55
ETCM_chemical_id_56,"5-Isopropyl-2-Methylcyclohexa-1,3-Diene,Î‘-Phellandrene",56
ETCM_chemical_id_57,Î‘-Terpineol,57
ETCM_chemical_id_58,"1-Isopropyl-4-Methylcyclohexa-1,3-Diene,Terpilene,Î‘-Terpinene",58
ETCM_chemical_id_59,Î‘-Bisabolene,59
ETCM_chemical_id_60,Î‘-Cyperene,60
ETCM_chemical_id_61,Î‘-Himachalene,61
ETCM_chemical_id_62,"(1S,4As,8Ar)-1-Isopropyl-4,7-Dimethyl-1,2,4A,5,6,8A-Hexahydronaphthalene,Î‘-Muurolene",62
ETCM_chemical_id_63,"Terpinolene,Î‘-Terpinolene",63
ETCM_chemical_id_64,Î’-Cubebene,64
ETCM_chemical_id_65,Î’-Bourbonene,65
ETCM_chemical_id_66,"Sitosterol,Î’-Sitosterol",66
ETCM_chemical_id_67,"7,11-Dimethyl-3-Methylenedodeca-1,6,10-Triene,Î’-Farnesene",67
ETCM_chemical_id_68,"Î‘-Elemene,Î’-Elemene",68
ETCM_chemical_id_69,"6,6-Dimethyl-2-Methylenebicyclo[3.1.1]Heptane,Î’-Pinene",69
ETCM_chemical_id_70,"(S)-1-Methyl-4-(6-Methylhepta-1,5-Dien-2-Yl)Cyclohex-1-Ene,Î’-Bisabolene",70
ETCM_chemical_id_71,Î’-Amyrin,71
ETCM_chemical_id_72,Î“-Humulene,72
ETCM_chemical_id_73,Î“-Cadinene,73
ETCM_chemical_id_74,"(1S,2S)-2-Isopropenyl-4-Isopropylidene-1-Methyl-1-Vinylcyclohexane,Î“-Elemene",74
ETCM_chemical_id_75,Î“-Muurolene,75
ETCM_chemical_id_76,Î”-Cadinol,76
ETCM_chemical_id_77,Ayanin,77
ETCM_chemical_id_78,Phenylitaconic Acid,78
ETCM_chemical_id_79,Phenylacetaldehyde,79
ETCM_chemical_id_80,Bornylene,80
ETCM_chemical_id_81,Nerol Propionate,81
ETCM_chemical_id_82,"Caryophellene,Î’-Elemene",82
ETCM_chemical_id_83,Caryophyllene Oxide,83
ETCM_chemical_id_84,"Pavilion,Scopoletin,Scopoletol,Trigonelline",84
ETCM_chemical_id_85,"Cumaldehyde,P-Isopropylbenzaldehyde",85
ETCM_chemical_id_86,"Dimethylesculetin,Scoparone",86
ETCM_chemical_id_87,Dihydroactinidiolide,87
ETCM_chemical_id_88,Trans-Carveol,88
ETCM_chemical_id_89,"(S)-Carvone,Carvone,Thymol",89
ETCM_chemical_id_90,Davanone,90
ETCM_chemical_id_91,Artemisia Alcohol,91
ETCM_chemical_id_92,Artemisia Ketone,92
ETCM_chemical_id_93,"Guercetol,Quercetin,Quercetin,Sophoretin,Meletin,Xanthaurine",93
ETCM_chemical_id_94,"Arachic Alcohol,Eicosanol",94
ETCM_chemical_id_95,Cycloardenyl Acetate,95
ETCM_chemical_id_96,"Eugenol Methyl Ether,Methyl Isoeugenol,Methyleugenol",96
