id,name,source
ETCM_disease_id_2,3-Methylglutaric Aciduria,existing
ETCM_disease_id_4,4-Hydroxyphenylpyruvic Aciduria,existing
ETCM_disease_id_5,5-Oxoprolinase Deficiency,existing
ETCM_disease_id_6,Abdominal Aortic Aneurysm,existing
ETCM_disease_id_7,Abdominal Colic,existing
ETCM_disease_id_8,Abdominal Distention,existing
ETCM_disease_id_9,Abdominal Mass,existing
ETCM_disease_id_11,Abdominal Pain,existing
ETCM_disease_id_12,Abdominal Wall Muscle Weakness,existing
ETCM_disease_id_13,Abducens Palsy,existing
ETCM_disease_id_15,Abetalipoproteinemia,existing
ETCM_disease_id_19,Abnormal Apolipoprotein Level,existing
ETCM_disease_id_21,Abnormal Autonomic Nervous System Physiology,existing
ETCM_disease_id_22,Abnormal Basophil Morphology,existing
ETCM_disease_id_23,Abnormal Bleeding,existing
ETCM_disease_id_24,Abnormal Blistering Of The Skin,existing
ETCM_disease_id_26,Abnormal Bone Structure,existing
ETCM_disease_id_28,Abnormal C-Peptide Level,existing
ETCM_disease_id_31,Abnormal Circulating Aldosterone,existing
ETCM_disease_id_34,Abnormal Circulating Renin,existing
ETCM_disease_id_38,Abnormal Eating Behavior,existing
ETCM_disease_id_39,Abnormal Echocardiogram,existing
ETCM_disease_id_40,Abnormal Ekg,existing
ETCM_disease_id_41,Abnormal Electroretinogram,existing
ETCM_disease_id_42,Abnormal Enchondral Ossification,existing
ETCM_disease_id_43,Abnormal Enzyme/Coenzyme Activity,existing
ETCM_disease_id_45,Abnormal Erythrocyte Morphology,existing
ETCM_disease_id_46,Abnormal Eyelash Morphology,existing
ETCM_disease_id_49,Abnormal Foot Bone Ossification,existing
ETCM_disease_id_50,Abnormal Globus Pallidus Morphology,existing
ETCM_disease_id_52,Abnormal Glycosylation,existing
ETCM_disease_id_53,Abnormal Granulocytopoietic Cell Morphology,existing
ETCM_disease_id_54,Abnormal Hair Pattern,existing
ETCM_disease_id_55,Abnormal Hair Quantity,existing
ETCM_disease_id_57,Abnormal Head Movements,existing
ETCM_disease_id_58,Abnormal Hemoglobin,existing
ETCM_disease_id_59,Abnormal Immunoglobulin Level,existing
ETCM_disease_id_60,Abnormal Intestine Morphology,existing
ETCM_disease_id_61,Abnormal Involuntary Eye Movements,existing
ETCM_disease_id_64,Abnormal Isoelectric Focusing Of Serum Transferrin,existing
ETCM_disease_id_67,Abnormal Large Intestine Morphology,existing
ETCM_disease_id_69,Abnormal Leukocyte Morphology,existing
ETCM_disease_id_70,Abnormal Levels Of Creatine Kinase In Blood,existing
ETCM_disease_id_71,Abnormal Light- And Dark-Adapted Electroretinogram,existing
ETCM_disease_id_72,Abnormal Lower Motor Neuron Morphology,existing
ETCM_disease_id_73,Abnormal Metaphyseal Vascular Invasion,existing
ETCM_disease_id_74,Abnormal Middle Ear Reflexes,existing
ETCM_disease_id_75,Abnormal Mitochondria In Muscle Tissue,existing
ETCM_disease_id_76,Abnormal Mitochondrial Morphology,existing
ETCM_disease_id_81,Abnormal Oral Glucose Tolerance,existing
ETCM_disease_id_82,Abnormal Pattern Of Respiration,existing
ETCM_disease_id_85,Abnormal Platelet Function,existing
ETCM_disease_id_87,Abnormal Platelet Morphology,existing
ETCM_disease_id_89,Abnormal Prolactin Level,existing
ETCM_disease_id_91,Abnormal Rapid Eye Movement Sleep,existing
ETCM_disease_id_92,Abnormal Renal Morphology,existing
ETCM_disease_id_93,Abnormal Renal Physiology,existing
ETCM_disease_id_94,Abnormal Serum Dehydroepiandrosterone Level,existing
ETCM_disease_id_95,Abnormal Serum Testosterone Level,existing
ETCM_disease_id_96,Abnormal Social Behavior,existing
ETCM_disease_id_98,Abnormal Subcutaneous Fat Tissue Distribution,existing
ETCM_disease_id_100,Abnormal Thrombocyte Morphology,existing
ETCM_disease_id_101,Abnormal Thrombosis,existing
ETCM_disease_id_103,Abnormal Upper Motor Neuron Morphology,existing
ETCM_disease_id_104,Abnormal Urinary Color,existing
ETCM_disease_id_105,Abnormal Urine Alpha-Ketoglutarate Concentration,existing
ETCM_disease_id_107,Abnormality Of Acetylcarnitine Metabolism,existing
ETCM_disease_id_108,Abnormality Of Amino Acid Metabolism,existing
ETCM_disease_id_109,Abnormality Of B Cell Physiology,existing
ETCM_disease_id_110,Abnormality Of Blood And Blood-Forming Tissues,existing
ETCM_disease_id_111,Abnormality Of Body Height,existing
ETCM_disease_id_112,Abnormality Of Bone Marrow Cell Morphology,existing
ETCM_disease_id_114,Abnormality Of Branched Chain Family Amino Acid Metabolism,existing
ETCM_disease_id_115,Abnormality Of Calcium-Phosphate Metabolism,existing
ETCM_disease_id_116,Abnormality Of Carboxylic Acid Metabolism,existing
ETCM_disease_id_117,Abnormality Of Cardiovascular System Morphology,existing
ETCM_disease_id_121,Abnormality Of Chromosome Stability,existing
ETCM_disease_id_122,Abnormality Of Circulating Adrenocorticotropin Level,existing
ETCM_disease_id_123,Abnormality Of Circulating Enzyme Level,existing
ETCM_disease_id_125,Abnormality Of Coagulation,existing
ETCM_disease_id_126,Abnormality Of Color Vision,existing
ETCM_disease_id_128,Abnormality Of Connective Tissue,existing
ETCM_disease_id_129,Abnormality Of Creatine Metabolism,existing
ETCM_disease_id_130,Abnormality Of Dental Color,existing
ETCM_disease_id_131,Abnormality Of Dental Enamel,existing
