id,name,etcm_id
ETCM_disease_id_1,3-Methylglutaconic Aciduria,1
ETCM_disease_id_2,3-Methylglutaric Aciduria,2
ETCM_disease_id_3,4-Hydroxyphenylacetic Aciduria,3
ETCM_disease_id_4,4-Hydroxyphenylpyruvic Aciduria,4
ETCM_disease_id_5,5-Oxoprolinase Deficiency,5
ETCM_disease_id_6,Abdominal Aortic Aneurysm,6
ETCM_disease_id_8,Abdominal Colic,8
ETCM_disease_id_9,Abdominal Distention,9
ETCM_disease_id_10,Abdominal Mass,10
ETCM_disease_id_11,Abdominal Obesity,11
ETCM_disease_id_12,Abdominal Pain,12
ETCM_disease_id_13,Abdominal Wall Muscle Weakness,13
ETCM_disease_id_14,Abducens Palsy,14
ETCM_disease_id_15,Aberrant Crypt Foci,15
ETCM_disease_id_16,Abetalipoproteinemia,16
ETCM_disease_id_17,Abnormal Activity Of Mitochondrial Respiratory Chain,17
ETCM_disease_id_18,Abnormal Aldolase Level,18
ETCM_disease_id_19,Abnormal Amplitude Of Pattern Reversal Visual Evoked Potentials,19
ETCM_disease_id_20,Abnormal Apolipoprotein Level,20
ETCM_disease_id_21,Abnormal Atrioventricular Conduction,21
ETCM_disease_id_22,Abnormal Autonomic Nervous System Physiology,22
ETCM_disease_id_23,Abnormal Basophil Morphology,23
ETCM_disease_id_24,Abnormal Bleeding,24
ETCM_disease_id_25,Abnormal Blistering Of The Skin,25
ETCM_disease_id_26,Abnormal Bone Ossification,26
ETCM_disease_id_27,Abnormal Bone Structure,27
ETCM_disease_id_28,Abnormal Bronchus Physiology,28
ETCM_disease_id_29,Abnormal C-Peptide Level,29
ETCM_disease_id_30,Abnormal Cartilage Collagen,30
ETCM_disease_id_31,Abnormal Cholesterol Homeostasis,31
ETCM_disease_id_32,Abnormal Circulating Aldosterone,32
ETCM_disease_id_33,Abnormal Circulating Follicle-Stimulating Hormone Level,33
ETCM_disease_id_34,Abnormal Circulating Insulin Level,34
ETCM_disease_id_35,Abnormal Circulating Renin,35
ETCM_disease_id_36,Abnormal Cornea Morphology,36
ETCM_disease_id_37,Abnormal Cortical Gyration,37
ETCM_disease_id_38,Abnormal Delayed Hypersensitivity Skin Test,38
ETCM_disease_id_39,Abnormal Eating Behavior,39
ETCM_disease_id_40,Abnormal Echocardiogram,40
ETCM_disease_id_41,Abnormal Ekg,41
ETCM_disease_id_42,Abnormal Electroretinogram,42
ETCM_disease_id_43,Abnormal Enchondral Ossification,43
ETCM_disease_id_44,Abnormal Enzyme/Coenzyme Activity,44
ETCM_disease_id_45,Abnormal Eosinophil Morphology,45
ETCM_disease_id_46,Abnormal Erythrocyte Morphology,46
ETCM_disease_id_47,Abnormal Eyelash Morphology,47
ETCM_disease_id_48,Abnormal Facial Expression,48
ETCM_disease_id_49,Abnormal Facility In Opposing The Shoulders,49
ETCM_disease_id_50,Abnormal Foot Bone Ossification,50
ETCM_disease_id_51,Abnormal Globus Pallidus Morphology,51
ETCM_disease_id_52,Abnormal Glucose Tolerance,52
ETCM_disease_id_53,Abnormal Glycosylation,53
ETCM_disease_id_54,Abnormal Granulocytopoietic Cell Morphology,54
ETCM_disease_id_55,Abnormal Hair Pattern,55
ETCM_disease_id_56,Abnormal Hair Quantity,56
ETCM_disease_id_57,Abnormal Hair Whorl,57
ETCM_disease_id_58,Abnormal Head Movements,58
ETCM_disease_id_59,Abnormal Hemoglobin,59
ETCM_disease_id_60,Abnormal Immunoglobulin Level,60
ETCM_disease_id_61,Abnormal Intestine Morphology,61
ETCM_disease_id_62,Abnormal Involuntary Eye Movements,62
ETCM_disease_id_63,Abnormal Iris Vasculature,63
ETCM_disease_id_64,Abnormal Iron Deposition In Mitochondria,64
ETCM_disease_id_65,Abnormal Isoelectric Focusing Of Serum Transferrin,65
ETCM_disease_id_66,Abnormal Joint Morphology,66
ETCM_disease_id_67,Abnormal Lactate Dehydrogenase Activity,67
ETCM_disease_id_68,Abnormal Large Intestine Morphology,68
ETCM_disease_id_69,Abnormal Large Intestine Physiology,69
ETCM_disease_id_70,Abnormal Leukocyte Morphology,70
ETCM_disease_id_71,Abnormal Levels Of Creatine Kinase In Blood,71
ETCM_disease_id_72,Abnormal Light- And Dark-Adapted Electroretinogram,72
ETCM_disease_id_73,Abnormal Lower Motor Neuron Morphology,73
ETCM_disease_id_74,Abnormal Metaphyseal Vascular Invasion,74
ETCM_disease_id_75,Abnormal Middle Ear Reflexes,75
ETCM_disease_id_76,Abnormal Mitochondria In Muscle Tissue,76
ETCM_disease_id_77,Abnormal Mitochondrial Morphology,77
ETCM_disease_id_78,Abnormal Mitochondrial Shape,78
ETCM_disease_id_79,Abnormal Motor Neuron Morphology,79
ETCM_disease_id_80,Abnormal Natural Killer Cell Physiology,80
ETCM_disease_id_81,Abnormal Neutrophil Count,81
ETCM_disease_id_82,Abnormal Oral Glucose Tolerance,82
ETCM_disease_id_83,Abnormal Pattern Of Respiration,83
ETCM_disease_id_84,Abnormal Peripheral Myelination,84
ETCM_disease_id_85,Abnormal Peristalsis,85
ETCM_disease_id_86,Abnormal Platelet Function,86
ETCM_disease_id_87,Abnormal Platelet Granules,87
ETCM_disease_id_88,Abnormal Platelet Morphology,88
ETCM_disease_id_89,Abnormal Posturing,89
ETCM_disease_id_90,Abnormal Prolactin Level,90
ETCM_disease_id_91,Abnormal Protein O-Linked Glycosylation,91
ETCM_disease_id_92,Abnormal Rapid Eye Movement Sleep,92
ETCM_disease_id_93,Abnormal Renal Morphology,93
ETCM_disease_id_94,Abnormal Renal Physiology,94
ETCM_disease_id_95,Abnormal Serum Dehydroepiandrosterone Level,95
ETCM_disease_id_96,Abnormal Serum Testosterone Level,96
ETCM_disease_id_97,Abnormal Social Behavior,97
ETCM_disease_id_98,Abnormal Spermatogenesis,98
ETCM_disease_id_99,Abnormal Subcutaneous Fat Tissue Distribution,99
ETCM_disease_id_100,Abnormal T Cell Morphology,100
ETCM_disease_id_101,Abnormal Thrombocyte Morphology,101
ETCM_disease_id_102,Abnormal Thrombosis,102
ETCM_disease_id_103,Abnormal Umbilical Stump Bleeding,103
ETCM_disease_id_104,Abnormal Upper Motor Neuron Morphology,104
ETCM_disease_id_105,Abnormal Urinary Color,105
ETCM_disease_id_106,Abnormal Urine Alpha-Ketoglutarate Concentration,106
ETCM_disease_id_107,Abnormal Urine Potassium Concentration,107
ETCM_disease_id_108,Abnormality Of Acetylcarnitine Metabolism,108
ETCM_disease_id_109,Abnormality Of Amino Acid Metabolism,109
ETCM_disease_id_110,Abnormality Of B Cell Physiology,110
ETCM_disease_id_111,Abnormality Of Blood And Blood-Forming Tissues,111
ETCM_disease_id_112,Abnormality Of Body Height,112
ETCM_disease_id_113,Abnormality Of Bone Marrow Cell Morphology,113
ETCM_disease_id_114,Abnormality Of Bone Mineral Density,114
ETCM_disease_id_115,Abnormality Of Branched Chain Family Amino Acid Metabolism,115
ETCM_disease_id_116,Abnormality Of Calcium-Phosphate Metabolism,116
ETCM_disease_id_117,Abnormality Of Carboxylic Acid Metabolism,117
ETCM_disease_id_118,Abnormality Of Cardiovascular System Morphology,118
ETCM_disease_id_119,Abnormality Of Central Motor Conduction,119
ETCM_disease_id_120,Abnormality Of Cholesterol Metabolism,120
ETCM_disease_id_121,Abnormality Of Chromosome Segregation,121
ETCM_disease_id_122,Abnormality Of Chromosome Stability,122
ETCM_disease_id_123,Abnormality Of Circulating Adrenocorticotropin Level,123
ETCM_disease_id_124,Abnormality Of Circulating Enzyme Level,124
ETCM_disease_id_125,Abnormality Of Circulating Leptin Level,125
ETCM_disease_id_126,Abnormality Of Coagulation,126
ETCM_disease_id_127,Abnormality Of Color Vision,127
ETCM_disease_id_128,Abnormality Of Complement System,128
ETCM_disease_id_129,Abnormality Of Connective Tissue,129
ETCM_disease_id_130,Abnormality Of Creatine Metabolism,130
ETCM_disease_id_131,Abnormality Of Dental Color,131
ETCM_disease_id_132,Abnormality Of Dental Enamel,132
ETCM_disease_id_133,Abnormality Of Earlobe,133
ETCM_disease_id_134,Abnormality Of Exocrine Pancreas Physiology,134
ETCM_disease_id_135,Abnormality Of Extrapyramidal Motor Function,135
ETCM_disease_id_136,Abnormality Of Eye Movement,136
ETCM_disease_id_137,Abnormality Of Fatty-Acid Metabolism,137
