id,name
ETCM_disease_id_2,3-Methylglutaric Aciduria
ETCM_disease_id_4,4-Hydroxyphenylpyruvic Aciduria
ETCM_disease_id_5,5-Oxoprolinase Deficiency
ETCM_disease_id_6,Abdominal Aortic Aneurysm
ETCM_disease_id_7,Abdominal Colic
ETCM_disease_id_8,Abdominal Distention
ETCM_disease_id_9,Abdominal Mass
ETCM_disease_id_11,Abdominal Pain
ETCM_disease_id_12,Abdominal Wall Muscle Weakness
ETCM_disease_id_13,Abducens Palsy
ETCM_disease_id_15,Abetalipoproteinemia
ETCM_disease_id_19,Abnormal Apolipoprotein Level
ETCM_disease_id_21,Abnormal Autonomic Nervous System Physiology
ETCM_disease_id_22,Abnormal Basophil Morphology
ETCM_disease_id_23,Abnormal Bleeding
ETCM_disease_id_24,Abnormal Blistering Of The Skin
ETCM_disease_id_26,Abnormal Bone Structure
ETCM_disease_id_28,Abnormal C-Peptide Level
ETCM_disease_id_31,Abnormal Circulating Aldosterone
ETCM_disease_id_34,Abnormal Circulating Renin
ETCM_disease_id_38,Abnormal Eating Behavior
ETCM_disease_id_39,Abnormal Echocardiogram
ETCM_disease_id_40,Abnormal Ekg
ETCM_disease_id_41,Abnormal Electroretinogram
ETCM_disease_id_42,Abnormal Enchondral Ossification
ETCM_disease_id_43,Abnormal Enzyme/Coenzyme Activity
ETCM_disease_id_45,Abnormal Erythrocyte Morphology
ETCM_disease_id_46,Abnormal Eyelash Morphology
ETCM_disease_id_49,Abnormal Foot Bone Ossification
ETCM_disease_id_50,Abnormal Globus Pallidus Morphology
ETCM_disease_id_52,Abnormal Glycosylation
ETCM_disease_id_53,Abnormal Granulocytopoietic Cell Morphology
ETCM_disease_id_54,Abnormal Hair Pattern
ETCM_disease_id_55,Abnormal Hair Quantity
ETCM_disease_id_57,Abnormal Head Movements
ETCM_disease_id_58,Abnormal Hemoglobin
ETCM_disease_id_59,Abnormal Immunoglobulin Level
ETCM_disease_id_60,Abnormal Intestine Morphology
ETCM_disease_id_61,Abnormal Involuntary Eye Movements
ETCM_disease_id_64,Abnormal Isoelectric Focusing Of Serum Transferrin
ETCM_disease_id_67,Abnormal Large Intestine Morphology
ETCM_disease_id_69,Abnormal Leukocyte Morphology
ETCM_disease_id_70,Abnormal Levels Of Creatine Kinase In Blood
ETCM_disease_id_71,Abnormal Light- And Dark-Adapted Electroretinogram
ETCM_disease_id_72,Abnormal Lower Motor Neuron Morphology
ETCM_disease_id_73,Abnormal Metaphyseal Vascular Invasion
ETCM_disease_id_74,Abnormal Middle Ear Reflexes
ETCM_disease_id_75,Abnormal Mitochondria In Muscle Tissue
ETCM_disease_id_76,Abnormal Mitochondrial Morphology
ETCM_disease_id_81,Abnormal Oral Glucose Tolerance
ETCM_disease_id_82,Abnormal Pattern Of Respiration
ETCM_disease_id_85,Abnormal Platelet Function
ETCM_disease_id_87,Abnormal Platelet Morphology
ETCM_disease_id_89,Abnormal Prolactin Level
ETCM_disease_id_91,Abnormal Rapid Eye Movement Sleep
ETCM_disease_id_92,Abnormal Renal Morphology
ETCM_disease_id_93,Abnormal Renal Physiology
ETCM_disease_id_94,Abnormal Serum Dehydroepiandrosterone Level
ETCM_disease_id_95,Abnormal Serum Testosterone Level
ETCM_disease_id_96,Abnormal Social Behavior
ETCM_disease_id_98,Abnormal Subcutaneous Fat Tissue Distribution
