id,name
GX_1,慢性支气管炎
GX_2,吐泻
GX_3,龋齿
GX_4,通经止痛
GX_6,复脉
GX_7,小儿肺炎
GX_8,白浊
GX_9,柔肝
GX_11,消疳
GX_12,润肺化痰
GX_13,散热
GX_14,白带
GX_15,生发乌发
GX_16,理气止痛
GX_17,风湿性腰腿痛
GX_18,吐逆
GX_20,散瘀定痛
GX_21,虚痨咳嗽
GX_22,解痉止痛
GX_24,遗尿尿频
GX_25,清热镇惊
GX_26,杀虫解毒
GX_27,食积胀痛
GX_29,清肺热
GX_30,外用治烧烫伤
GX_31,散寒
GX_32,利水通淋
GX_33,温通经脉
GX_34,化痰散痞
GX_37,主月经不调
GX_38,折伤
GX_39,止盗汗
GX_41,活络
GX_42,睾丸肿痛
GX_43,小儿头疮
GX_46,止咳化痰
GX_47,产后出血
GX_48,蛔虫腹痛
GX_49,解暑
GX_50,皮肤湿疹
GX_52,皮肤瘙痒
GX_54,润心肺
GX_55,肠燥便秘
GX_56,排石
GX_57,清利湿热
GX_58,消痈肿
GX_59,污水逐饮
GX_60,活血消斑
GX_61,益精明目
GX_62,尿血崩漏
GX_63,除寒
GX_64,治虚弱
GX_66,通乳
GX_68,滑肠通便
GX_69,瘰疬
GX_70,利膈
GX_71,石淋
GX_72,出血
GX_73,止咳祛痰
GX_74,痈肿疮毒
GX_75,恶疮
GX_76,淋浊
GX_78,顽癣
GX_79,痈疽
GX_80,回乳
GX_81,凉血解毒
GX_82,固肾
GX_85,小儿食积
GX_86,蛔虫病
GX_88,妊娠
GX_89,清肺化痰
GX_90,痈疽疮疡
GX_92,乳肿
GX_93,疣赘
GX_94,气虚
GX_97,翳障
GX_98,呕血
GX_99,纳气平喘
GX_100,乳汁不下
GX_103,顺气
GX_104,肾炎水肿
GX_105,升发清阳
GX_106,血虚
GX_107,芳香化湿
GX_108,温阳散寒
GX_109,淋证
GX_110,消食积
GX_111,反胃
GX_112,消肿定痛
GX_114,燥湿消痰
GX_116,头晕
GX_118,镇静
GX_119,风热咳嗽
GX_120,咽喉疼痛
GX_121,生发
GX_122,目暗不明
GX_123,温中理气
GX_124,惊悸
GX_126,破血软坚
GX_127,内伤
GX_129,尿频
GX_130,跌打伤
GX_131,脓血
GX_134,温经
GX_135,健脾和胃
GX_136,主湿热
GX_138,止烦渴
GX_139,疮疡肿毒
GX_140,宣肺平喘
GX_141,疗疮
GX_143,眼结膜炎
GX_144,养阴清肺
GX_145,收涩止血
GX_146,秃疮
GX_147,涩肠止泻
GX_148,祛风解毒
GX_149,阴虚火旺
GX_150,开胃止呕
GX_152,清肺
GX_153,助阳止泻
GX_156,尿路感染
GX_157,咯血
GX_158,抗癌
GX_159,解表散寒
GX_160,溃疡病
GX_161,游风
GX_162,痨热
GX_163,温脾止泻
GX_164,止嗽
GX_165,筋骨疼痛
GX_166,止血止痛
GX_167,下乳汁
GX_169,降气化痰
GX_171,除风
GX_172,补五脏
GX_173,安五脏
GX_174,湿疮
GX_175,固表
GX_176,祛风止痒
GX_179,利湿去浊
GX_180,止呕吐
GX_181,出汗
GX_182,疮痈肿毒
GX_184,润肺止咳
GX_186,辟瘟
GX_187,通鼻窍
GX_188,益精血
GX_189,凉血散瘀
GX_190,蛇咬
GX_191,宣散风热
GX_192,理气安胎
GX_193,补肝肾
GX_194,解表祛风
GX_195,杀虫
GX_196,痔瘘
GX_198,肠风下血
GX_199,小便淋涩
GX_200,升阳
GX_202,补益心脾
GX_203,养阴生津
GX_204,胃气痛
GX_206,小便涩痛
GX_207,清热解暑
GX_208,清肝
GX_209,催乳
GX_210,益气摄血
GX_211,补虚弱
GX_212,虫咬伤
GX_213,水气浮肿
GX_214,耳鸣耳聋
GX_216,开窍醒神
GX_217,坐骨神经痛
GX_218,通经
GX_219,结膜炎
GX_220,癣疥
GX_221,消食导滞
GX_222,聪耳明目
GX_223,腹泻
GX_225,醒脾
GX_228,赤眼
GX_229,胃脘疼痛
GX_230,神昏
GX_231,痔疮
GX_232,甲状腺肿
GX_233,症瘕积聚
GX_234,和中利湿
GX_235,肠炎腹泻
GX_236,去三虫
GX_237,行气导滞
GX_238,消斑
GX_240,烫火伤
GX_241,胞衣不下
GX_242,疝气
GX_243,肺炎
GX_244,经闭痛经
GX_245,止小便利
GX_246,止咳
GX_247,头昏
GX_248,行气温中
GX_249,邪气
GX_250,创伤
GX_251,肠胃炎
GX_253,气管炎
GX_254,清热生津
GX_258,寒湿
GX_260,目赤肿痛
GX_262,中风
GX_264,补肺
GX_265,风疹
GX_266,豁痰
GX_267,行气解郁
GX_268,烦闷
GX_269,血瘀经闭
GX_270,慢性肝炎
GX_272,瘀血
GX_273,泻肝胆火
GX_274,目赤
GX_276,痈疽疮肿
GX_278,舒筋活血
GX_279,散风
GX_280,温补
GX_282,喘咳
GX_284,胁痛
GX_285,支气管炎
GX_286,补肾助阳
GX_289,活血通络
GX_290,消宿食
GX_291,疔毒
GX_293,斑疹
GX_294,补肾阳
GX_295,缩小便
GX_296,活血止痛
GX_298,头疮
GX_299,发斑
GX_300,泄泻痢疾
GX_301,消食健胃
GX_302,支气管哮喘
GX_303,虚损
GX_305,清热燥湿
GX_307,开胃
GX_309,定惊搐
GX_312,去瘀
GX_313,恶疮肿毒
GX_314,肠鸣
GX_316,调经止痛
GX_317,温肾阳
GX_318,四肢拘挛
GX_319,退目翳
GX_320,发汗散寒
GX_322,瘰疬痰核
GX_324,疏散风热
GX_325,心悸失眠
GX_326,胃脘痛
GX_327,烦躁
GX_328,慢性气管炎
GX_329,滋补强壮
GX_330,伤寒
GX_332,引火归源
GX_336,子宫出血
GX_338,痰血
GX_340,明耳目
GX_343,松风通痹
GX_344,治肺
GX_345,疝气疼痛
GX_347,产难
GX_350,水痘
GX_351,神经性头痛
GX_353,梦遗
GX_355,宽中下气
