id,name
ETCM_Target_Genes_id_3,AANAT
ETCM_Target_Genes_id_5,ABAT
ETCM_Target_Genes_id_6,ABCA1
ETCM_Target_Genes_id_8,ABL1
ETCM_Target_Genes_id_11,ACACA
ETCM_Target_Genes_id_17,ACHE
ETCM_Target_Genes_id_21,ACPP
ETCM_Target_Genes_id_30,ADCY1
ETCM_Target_Genes_id_31,ADCY2
ETCM_Target_Genes_id_32,ADCY5
ETCM_Target_Genes_id_34,ADH1A
ETCM_Target_Genes_id_35,ADH1B
ETCM_Target_Genes_id_36,ADH1C
ETCM_Target_Genes_id_42,ADORA1
ETCM_Target_Genes_id_45,ADORA3
ETCM_Target_Genes_id_49,ADRA1A
ETCM_Target_Genes_id_50,ADRA2A
ETCM_Target_Genes_id_51,ADRA2B
ETCM_Target_Genes_id_52,ADRA2C
ETCM_Target_Genes_id_61,AGTR2
ETCM_Target_Genes_id_69,AKT1
ETCM_Target_Genes_id_74,ALB
ETCM_Target_Genes_id_75,ALDH1A1
ETCM_Target_Genes_id_76,ALDH2
ETCM_Target_Genes_id_78,ALDH1B1
ETCM_Target_Genes_id_82,ALDH9A1
ETCM_Target_Genes_id_83,ALDH3A2
ETCM_Target_Genes_id_86,AKR1B1
ETCM_Target_Genes_id_88,ALOX5
ETCM_Target_Genes_id_89,ALOX15
ETCM_Target_Genes_id_90,ALPL
ETCM_Target_Genes_id_91,ALPP
ETCM_Target_Genes_id_92,ALPPL2
ETCM_Target_Genes_id_102,SLC25A4
ETCM_Target_Genes_id_103,ANXA1
ETCM_Target_Genes_id_106,AOX1
ETCM_Target_Genes_id_108,APCS
ETCM_Target_Genes_id_110,XIAP
ETCM_Target_Genes_id_112,APOD
ETCM_Target_Genes_id_114,APP
ETCM_Target_Genes_id_117,AR
ETCM_Target_Genes_id_130,STS
ETCM_Target_Genes_id_133,ASMT
ETCM_Target_Genes_id_151,ALDH7A1
ETCM_Target_Genes_id_156,ATP7A
ETCM_Target_Genes_id_157,ATP7B
ETCM_Target_Genes_id_158,KIF1A
ETCM_Target_Genes_id_168,BCHE
ETCM_Target_Genes_id_169,BCL2
ETCM_Target_Genes_id_174,BDKRB2
ETCM_Target_Genes_id_175,BGLAP
ETCM_Target_Genes_id_186,TSPO
ETCM_Target_Genes_id_188,C3
