id,name,source
ETCM_Target_Genes_id_3,AANAT,existing
ETCM_Target_Genes_id_5,ABAT,existing
ETCM_Target_Genes_id_6,ABCA1,existing
ETCM_Target_Genes_id_8,ABL1,existing
ETCM_Target_Genes_id_11,ACACA,existing
ETCM_Target_Genes_id_17,ACHE,existing
ETCM_Target_Genes_id_21,ACPP,existing
ETCM_Target_Genes_id_30,ADCY1,existing
ETCM_Target_Genes_id_31,ADCY2,existing
ETCM_Target_Genes_id_32,ADCY5,existing
ETCM_Target_Genes_id_34,ADH1A,existing
ETCM_Target_Genes_id_35,ADH1B,existing
ETCM_Target_Genes_id_36,ADH1C,existing
ETCM_Target_Genes_id_42,ADORA1,existing
ETCM_Target_Genes_id_45,ADORA3,existing
ETCM_Target_Genes_id_49,ADRA1A,existing
ETCM_Target_Genes_id_50,ADRA2A,existing
ETCM_Target_Genes_id_51,ADRA2B,existing
ETCM_Target_Genes_id_52,ADRA2C,existing
ETCM_Target_Genes_id_61,AGTR2,existing
ETCM_Target_Genes_id_69,AKT1,existing
ETCM_Target_Genes_id_74,ALB,existing
ETCM_Target_Genes_id_75,ALDH1A1,existing
ETCM_Target_Genes_id_76,ALDH2,existing
ETCM_Target_Genes_id_78,ALDH1B1,existing
ETCM_Target_Genes_id_82,ALDH9A1,existing
ETCM_Target_Genes_id_83,ALDH3A2,existing
ETCM_Target_Genes_id_86,AKR1B1,existing
ETCM_Target_Genes_id_88,ALOX5,existing
ETCM_Target_Genes_id_89,ALOX15,existing
ETCM_Target_Genes_id_90,ALPL,existing
ETCM_Target_Genes_id_91,ALPP,existing
ETCM_Target_Genes_id_92,ALPPL2,existing
ETCM_Target_Genes_id_102,SLC25A4,existing
ETCM_Target_Genes_id_103,ANXA1,existing
ETCM_Target_Genes_id_106,AOX1,existing
ETCM_Target_Genes_id_108,APCS,existing
ETCM_Target_Genes_id_110,XIAP,existing
ETCM_Target_Genes_id_112,APOD,existing
ETCM_Target_Genes_id_114,APP,existing
ETCM_Target_Genes_id_117,AR,existing
ETCM_Target_Genes_id_130,STS,existing
ETCM_Target_Genes_id_133,ASMT,existing
ETCM_Target_Genes_id_151,ALDH7A1,existing
ETCM_Target_Genes_id_156,ATP7A,existing
ETCM_Target_Genes_id_157,ATP7B,existing
ETCM_Target_Genes_id_158,KIF1A,existing
ETCM_Target_Genes_id_168,BCHE,existing
ETCM_Target_Genes_id_169,BCL2,existing
ETCM_Target_Genes_id_174,BDKRB2,existing
ETCM_Target_Genes_id_175,BGLAP,existing
ETCM_Target_Genes_id_186,TSPO,existing
ETCM_Target_Genes_id_188,C3,existing
ETCM_Target_Genes_id_191,CA2,existing
ETCM_Target_Genes_id_198,CA12,existing
ETCM_Target_Genes_id_204,CACNA1S,existing
ETCM_Target_Genes_id_215,CALCA,existing
ETCM_Target_Genes_id_216,CALM1,existing
ETCM_Target_Genes_id_221,CAMK2G,existing
ETCM_Target_Genes_id_224,CAPN1,existing
ETCM_Target_Genes_id_226,CASP1,existing
ETCM_Target_Genes_id_227,CASP3,existing
ETCM_Target_Genes_id_230,CAT,existing
ETCM_Target_Genes_id_231,SERPINA6,existing
ETCM_Target_Genes_id_232,CBR1,existing
ETCM_Target_Genes_id_236,CCKBR,existing
ETCM_Target_Genes_id_237,CCNA2,existing
ETCM_Target_Genes_id_240,SCARB1,existing
ETCM_Target_Genes_id_246,CDK2,existing
ETCM_Target_Genes_id_247,CDK4,existing
ETCM_Target_Genes_id_255,CEL,existing
ETCM_Target_Genes_id_256,CES1,existing
ETCM_Target_Genes_id_257,CFTR,existing
ETCM_Target_Genes_id_258,CHAT,existing
ETCM_Target_Genes_id_265,CHRM1,existing
ETCM_Target_Genes_id_266,CHRM2,existing
ETCM_Target_Genes_id_267,CHRM3,existing
ETCM_Target_Genes_id_268,CHRM4,existing
ETCM_Target_Genes_id_272,CHRNA3,existing
ETCM_Target_Genes_id_273,CHRNA4,existing
ETCM_Target_Genes_id_274,CHRNA5,existing
ETCM_Target_Genes_id_275,CHRNA7,existing
ETCM_Target_Genes_id_279,CHRNB4,existing
ETCM_Target_Genes_id_290,CLPS,existing
ETCM_Target_Genes_id_292,CCR5,existing
ETCM_Target_Genes_id_295,CNR1,existing
