id,name
ETCM_Gene_1,AGK
ETCM_Gene_2,ATP5F1E
ETCM_Gene_3,ATPAF2
ETCM_Gene_4,AUH
ETCM_Gene_5,C19ORF70
ETCM_Gene_6,HTRA2
ETCM_Gene_7,OPA3
ETCM_Gene_8,POLG
ETCM_Gene_9,SERAC1
ETCM_Gene_10,TAZ
ETCM_Gene_11,TIMM50
ETCM_Gene_12,TMEM70
ETCM_Gene_13,DNAJC19
ETCM_Gene_14,HMGCL
ETCM_Gene_15,HPD
ETCM_Gene_16,TAT
ETCM_Gene_17,OPLAH
ETCM_Gene_18,PTGS2
ETCM_Gene_19,ACTA2
ETCM_Gene_20,ELN
ETCM_Gene_21,FBN1
ETCM_Gene_22,FOXE3
ETCM_Gene_23,LOX
ETCM_Gene_24,MFAP5
ETCM_Gene_25,MYH11
ETCM_Gene_26,MYLK
ETCM_Gene_27,NSMCE2
ETCM_Gene_28,PRKG1
ETCM_Gene_29,PTPN22
ETCM_Gene_30,SMAD3
ETCM_Gene_31,TGFB2
ETCM_Gene_32,TGFB3
ETCM_Gene_33,TGFBR1
ETCM_Gene_34,TGFBR2
ETCM_Gene_35,ALAD
ETCM_Gene_36,ACTG2
ETCM_Gene_37,ARSA
ETCM_Gene_38,BRCA1
ETCM_Gene_39,COL2A1
ETCM_Gene_40,DDRGK1
ETCM_Gene_41,DUOX2
ETCM_Gene_42,DUOXA2
ETCM_Gene_43,DYNC2H1
ETCM_Gene_44,EWSR1
ETCM_Gene_45,FLNA
ETCM_Gene_46,FOXE1
ETCM_Gene_47,FSHR
ETCM_Gene_48,HESX1
ETCM_Gene_49,IFT80
ETCM_Gene_50,IL12A
ETCM_Gene_51,IL12RB1
ETCM_Gene_52,INSR
ETCM_Gene_53,IRF5
ETCM_Gene_54,ITGA6
ETCM_Gene_55,ITGB4
ETCM_Gene_56,IYD
ETCM_Gene_57,KRT18
ETCM_Gene_58,KRT8
ETCM_Gene_59,LHX3
ETCM_Gene_60,LHX4
ETCM_Gene_61,LIPA
ETCM_Gene_62,LMOD1
ETCM_Gene_63,LRP5
ETCM_Gene_64,MMEL1
ETCM_Gene_65,MNX1
ETCM_Gene_66,MYO5B
ETCM_Gene_67,NKX2-1
ETCM_Gene_68,NKX2-5
ETCM_Gene_69,NPHS1
ETCM_Gene_70,PAX8
ETCM_Gene_71,POU1F1
ETCM_Gene_72,POU2AF1
ETCM_Gene_73,PRKCSH
ETCM_Gene_74,PROP1
ETCM_Gene_75,PSAP
ETCM_Gene_76,RRM2B
ETCM_Gene_77,SAR1B
ETCM_Gene_78,SEC63
ETCM_Gene_79,SLC26A2
ETCM_Gene_80,SLC26A3
ETCM_Gene_81,SLC26A4
ETCM_Gene_82,SLC2A2
ETCM_Gene_83,SLC5A1
ETCM_Gene_84,SLC5A5
ETCM_Gene_85,SLC9A3
ETCM_Gene_86,SPIB
ETCM_Gene_87,SPINT2
ETCM_Gene_88,STX3
ETCM_Gene_89,TCTN2
ETCM_Gene_90,TG
ETCM_Gene_91,THRA
ETCM_Gene_92,THRB
ETCM_Gene_93,TNFSF15
ETCM_Gene_94,TNPO3
ETCM_Gene_95,TPO
ETCM_Gene_96,TRIP11
ETCM_Gene_97,TRMU
ETCM_Gene_98,TSHB
ETCM_Gene_99,TSHR
ETCM_Gene_100,TTC7A
ETCM_Gene_101,TYMP
ETCM_Gene_102,WDR34
ETCM_Gene_103,WDR35
ETCM_Gene_104,WDR60
ETCM_Gene_105,WT1
ETCM_Gene_106,ZEB2
ETCM_Gene_107,NME1
ETCM_Gene_108,AIP
ETCM_Gene_109,ARMC5
ETCM_Gene_110,CUL4B
ETCM_Gene_111,DYRK1B
ETCM_Gene_112,HERC2
ETCM_Gene_113,IPW
ETCM_Gene_114,LIPE
ETCM_Gene_115,MAGEL2
ETCM_Gene_116,MKRN3
ETCM_Gene_117,MKRN3-AS1
ETCM_Gene_118,NDN
ETCM_Gene_119,NPAP1
ETCM_Gene_120,PWAR1
ETCM_Gene_121,PWRN1
ETCM_Gene_122,SNORD115-1
ETCM_Gene_123,SNORD116-1
ETCM_Gene_124,SNRPN
ETCM_Gene_125,USP8
ETCM_Gene_126,ABCA1
ETCM_Gene_127,ABCC2
ETCM_Gene_128,ABCG5
ETCM_Gene_129,ABCG8
ETCM_Gene_130,ADA2
ETCM_Gene_131,ALDOB
ETCM_Gene_132,APC
ETCM_Gene_133,BAZ1B
ETCM_Gene_134,BCL10
ETCM_Gene_135,BIRC3
ETCM_Gene_136,BMPR1A
ETCM_Gene_137,BRCA2
ETCM_Gene_138,C4A
ETCM_Gene_139,CASR
ETCM_Gene_140,CCR1
ETCM_Gene_141,CD55
ETCM_Gene_142,CDH23
ETCM_Gene_143,CDKN2A
ETCM_Gene_144,CEL
ETCM_Gene_145,CFTR
ETCM_Gene_146,CLDN16
ETCM_Gene_147,CLIP2
ETCM_Gene_148,COX1
ETCM_Gene_149,COX2
ETCM_Gene_150,COX3
ETCM_Gene_151,CPA1
ETCM_Gene_152,CPOX
ETCM_Gene_153,CTLA4
ETCM_Gene_154,CTNNB1
ETCM_Gene_155,CTRC
ETCM_Gene_156,DDIT3
ETCM_Gene_157,DIS3L2
ETCM_Gene_158,DNASE1L3
ETCM_Gene_159,ECE1
ETCM_Gene_160,EDN3
ETCM_Gene_161,EDNRB
ETCM_Gene_162,ELANE
ETCM_Gene_163,EPCAM
ETCM_Gene_164,EPOR
ETCM_Gene_165,ERAP1
ETCM_Gene_166,F5
ETCM_Gene_167,FAN1
ETCM_Gene_168,FAS
ETCM_Gene_169,FOXP1
ETCM_Gene_170,FUS
ETCM_Gene_171,GBA
ETCM_Gene_172,GCGR
ETCM_Gene_173,GDNF
ETCM_Gene_174,GHSR
ETCM_Gene_175,GLA
ETCM_Gene_176,GNA11
ETCM_Gene_177,GPC3
ETCM_Gene_178,GPR35
ETCM_Gene_179,GTF2I
ETCM_Gene_180,GTF2IRD1
ETCM_Gene_181,GUCY2C
ETCM_Gene_182,H19
ETCM_Gene_183,HBB
ETCM_Gene_184,HFE
ETCM_Gene_185,HLA-B
ETCM_Gene_186,HLA-DPB1
ETCM_Gene_187,HLA-DRB1
ETCM_Gene_188,HMBS
ETCM_Gene_189,HPS1
ETCM_Gene_190,IGH
ETCM_Gene_191,IKZF1
ETCM_Gene_192,IL10
ETCM_Gene_193,IL12A-AS1
ETCM_Gene_194,IL23R
ETCM_Gene_195,IL6
ETCM_Gene_196,JAK2
ETCM_Gene_197,KIT
ETCM_Gene_198,KLRC4
ETCM_Gene_199,KRAS
ETCM_Gene_200,LACC1
ETCM_Gene_201,LIMK1
ETCM_Gene_202,MALT1
ETCM_Gene_203,MCM6
ETCM_Gene_204,MEFV
ETCM_Gene_205,MET
ETCM_Gene_206,MIF
ETCM_Gene_207,MLH1
ETCM_Gene_208,MLH3
ETCM_Gene_209,MLYCD
ETCM_Gene_210,MPL
ETCM_Gene_211,MSH2
ETCM_Gene_212,MSH6
ETCM_Gene_213,MST1
ETCM_Gene_214,MUT
ETCM_Gene_215,MVK
ETCM_Gene_216,MYC
ETCM_Gene_217,ND1
ETCM_Gene_218,ND4
ETCM_Gene_219,ND5
ETCM_Gene_220,ND6
ETCM_Gene_221,NLRC4
ETCM_Gene_222,NLRP12
ETCM_Gene_223,NLRP3
ETCM_Gene_224,NRTN
ETCM_Gene_225,PALB2
ETCM_Gene_226,PALLD
ETCM_Gene_227,PIGA
ETCM_Gene_228,PIGT
ETCM_Gene_229,PIK3CA
ETCM_Gene_230,PMS1
ETCM_Gene_231,PMS2
ETCM_Gene_232,POMT1
ETCM_Gene_233,PORCN
ETCM_Gene_234,POU6F2
ETCM_Gene_235,PPOX
ETCM_Gene_236,PRSS1
ETCM_Gene_237,PRSS2
ETCM_Gene_238,PRTN3
ETCM_Gene_239,PTPN3
ETCM_Gene_240,REST
ETCM_Gene_241,RET
ETCM_Gene_242,RFC2
ETCM_Gene_243,RNF168
ETCM_Gene_244,SAA1
ETCM_Gene_245,SCARB2
ETCM_Gene_246,SDHB
ETCM_Gene_247,SDHC
ETCM_Gene_248,SDHD
ETCM_Gene_249,SEMA3C
ETCM_Gene_250,SEMA3D
ETCM_Gene_251,SERPING1
ETCM_Gene_252,SLC12A3
ETCM_Gene_253,SLC25A26
ETCM_Gene_254,SLC40A1
ETCM_Gene_255,SLCO1B1
ETCM_Gene_256,SLCO1B3
ETCM_Gene_257,SMAD4
ETCM_Gene_258,SOX10
ETCM_Gene_259,SPINK1
ETCM_Gene_260,STAT4
ETCM_Gene_261,STK11
ETCM_Gene_262,TBL2
ETCM_Gene_263,TCF4
ETCM_Gene_264,TET2
ETCM_Gene_265,TLR4
ETCM_Gene_266,TNFRSF1A
ETCM_Gene_267,TP53
ETCM_Gene_268,TREH
ETCM_Gene_269,TRIM28
ETCM_Gene_270,TRIP13
ETCM_Gene_271,TRNF
ETCM_Gene_272,TRNH
ETCM_Gene_273,TRNL1
ETCM_Gene_274,TRNQ
ETCM_Gene_275,TRNS1
ETCM_Gene_276,TRNS2
ETCM_Gene_277,TRNW
ETCM_Gene_278,TSC1
ETCM_Gene_279,TSC2
ETCM_Gene_280,UBAC2
ETCM_Gene_281,VPS13A
ETCM_Gene_282,CYP27B1
ETCM_Gene_283,FRG1
ETCM_Gene_284,GYG1
ETCM_Gene_285,MAP2K2
ETCM_Gene_286,NF1
ETCM_Gene_287,PTEN
ETCM_Gene_288,SKI
ETCM_Gene_289,SMCHD1
ETCM_Gene_290,VDR
ETCM_Gene_291,TRPV4
ETCM_Gene_292,MTTP
ETCM_Gene_293,TRMT5
ETCM_Gene_294,B3GALNT2
ETCM_Gene_295,B4GAT1
ETCM_Gene_296,COL4A1
ETCM_Gene_297,DAG1
ETCM_Gene_298,FKRP
ETCM_Gene_299,FKTN
ETCM_Gene_300,INPP5K
ETCM_Gene_301,ISPD
ETCM_Gene_302,LARGE1
ETCM_Gene_303,POMGNT1
ETCM_Gene_304,POMGNT2
ETCM_Gene_305,POMK
ETCM_Gene_306,POMT2
ETCM_Gene_307,RXYLT1
ETCM_Gene_308,SIL1
ETCM_Gene_309,OPA1
ETCM_Gene_310,ATP6V0A2
ETCM_Gene_311,ATP6V1A
ETCM_Gene_312,ATP6V1E1
ETCM_Gene_313,LMNA
ETCM_Gene_314,AAAS
ETCM_Gene_315,ASCL1
ETCM_Gene_316,ATXN3
ETCM_Gene_317,BRAT1
ETCM_Gene_318,CCT5
