id,name
ETCM_Gene_1,CYP2A6
ETCM_Gene_2,IGHG1
ETCM_Gene_3,SHBG
ETCM_Gene_4,MAOB
ETCM_Gene_5,NR1H4
ETCM_Gene_6,ACOT13
ETCM_Gene_7,DBI
ETCM_Gene_8,RHO
ETCM_Gene_9,ALB
ETCM_Gene_10,CDK6
ETCM_Gene_11,GABRA1
ETCM_Gene_12,GABRA2
ETCM_Gene_13,GABRA3
ETCM_Gene_14,GABRA4
ETCM_Gene_15,GABRA5
ETCM_Gene_16,GABRA6
ETCM_Gene_17,GABRG1
ETCM_Gene_18,GABRG2
ETCM_Gene_19,GABRG3
ETCM_Gene_20,MTTP
ETCM_Gene_21,SOAT1
ETCM_Gene_22,SOAT2
ETCM_Gene_23,UGT3A1
ETCM_Gene_24,AKR1C1
ETCM_Gene_25,AKR1C2
ETCM_Gene_26,AR
ETCM_Gene_27,CLEC4E
ETCM_Gene_28,ESR1
ETCM_Gene_29,ESR2
ETCM_Gene_30,GABRB1
ETCM_Gene_31,GABRB2
ETCM_Gene_32,GABRB3
ETCM_Gene_33,GABRD
ETCM_Gene_34,GABRE
ETCM_Gene_35,GABRP
ETCM_Gene_36,GABRQ
ETCM_Gene_37,GRIN1
ETCM_Gene_38,GRIN2A
ETCM_Gene_39,GRIN2B
ETCM_Gene_40,GRIN2C
ETCM_Gene_41,GRIN2D
ETCM_Gene_42,GRIN3A
ETCM_Gene_43,GRIN3B
ETCM_Gene_44,HSD17B1
ETCM_Gene_45,LIP3
ETCM_Gene_46,LSS
ETCM_Gene_47,NCOA2
ETCM_Gene_48,NR1I2
ETCM_Gene_49,NR1I3
ETCM_Gene_50,NR3C1
ETCM_Gene_51,NR3C2
ETCM_Gene_52,PGR
ETCM_Gene_53,PPARA
ETCM_Gene_54,RORA
ETCM_Gene_55,SIGMAR1
ETCM_Gene_56,SULT2A1
ETCM_Gene_57,SULT2B1
ETCM_Gene_58,VDR
ETCM_Gene_59,NFKB1
ETCM_Gene_60,NFKB2
ETCM_Gene_61,LCN9
ETCM_Gene_62,COMT
ETCM_Gene_63,ACTB
