id,name
HN3,蓍草
HN16,大皂角
HN30,青葙子
HN33,商陆
HN41,白果
HN53,柿蒂
HN148,细辛
HN178,檀香
HN180,吴茱萸
HN185,黑种草子
HN206,玄参
HN226,何首乌
HN230,党参
HN334,青果
HN352,豨莶草
HN353,筋骨草
HN392,灵芝
HN402,益智
HN412,鸡冠花
HN422,肿节风
HN465,桔梗
HN486,夏枯草
HN527,荜茇
HN531,颠茄草
HN552,赤芍
HN555,麦冬
HN578,预知子
HN585,谷精草
HN595,薄荷
HN656,丝瓜络
HN657,麻黄
HN699,菊花
HN754,竹茹
HN844,葶苈子
HN889,火麻仁
HN927,巴戟天
HN934,山柰
HN950,草乌
HN997,益母草
HN1009,芥子
HN1019,茯苓
HN1104,荷叶
HN1125,白茅根
HN1133,冬凌草
HN1174,茵陈
HN1184,旋覆花
HN1215,香附
HN1297,白前
HN1315,覆盆子
HN1322,木贼
HN1329,天冬
HN1335,冬瓜皮
HN1355,香加皮
HN1380,苦木
HN1382,柏子仁
HN1392,芦根
HN1418,人参
HN1421,桃仁
HN1426,金铁锁
HN1431,浙贝母
HN1436,土贝母
HN1464,王不留行
HN1519,西洋参
HN1548,续断
HN1565,胡芦巴
HN1599,拳参
HN1608,土木香
HN1615,干姜
HN1663,胡椒
HN1677,黑豆
HN1678,丁公藤
HN1692,款冬花
HN1693,姜黄
HN1697,槐花
HN1739,九里香
HN1754,北刘寄奴
HN1777,杠板归
HN1780,黑芝麻
HN1845,番泻叶
HN1874,罗汉果
HN1893,防风
HN1896,地榆
HN1915,土荆皮
HN1986,酸枣仁
HN2062,佩兰
HN2072,石吊兰
HN2078,杜仲叶
HN2081,韭菜子
HN2083,川贝母
HN2151,青风藤
HN2154,木香
HN2187,砂仁
HN2191,三七
HN2242,枳壳
HN2253,天南星
HN2276,半夏
HN2291,郁金
HN2293,广金钱草
HN2313,乳香
HN2333,葛根
HN2334,柴胡
HN2341,合欢花
HN2342,千金子
HN2351,白附子
HN2479,一枝黄花
HN2506,辣椒
HN2509,四季青
HN2543,墨旱莲
HN2552,花椒
HN2598,鹅不食草
HN2604,栀子
HN2634,菊苣
HN2637,仙鹤草
HN2681,鸦胆子
HN2707,使君子
HN2714,芦荟
HN2743,偏头七
HN2789,鸭跖草
HN2791,大蒜
HN2792,木通
HN2830,玫瑰花
HN2867,虎杖
HN2874,忍冬藤
HN2900,红景天
HN2911,仙茅
HN2935,板蓝根
HN2937,侧柏叶
HN2944,菟丝子
HN2980,大枣
HN2986,川芎
HN2993,北豆根
HN3006,白屈菜
HN3022,赤小豆
HN3058,海藻
HN3066,薏苡仁
HN3077,急性子
HN3105,大黄
HN3126,艾叶
HN3133,路路通
HN3170,草果
HN3191,山楂
HN3193,金樱子
HN3233,附子
HN3238,白芷
HN3240,苏合香
HN3285,淡竹叶
HN3300,棕榈
HN3321,泽兰
HN3325,月季花
HN3334,乌梅
HN3348,苦楝皮
HN3383,蒲黄
HN3394,甘遂
HN3437,草豆蔻
HN3440,芫花
HN3485,车前草
HN3506,紫花地丁
HN3531,鹿衔草
HN3548,香橼
HN3564,蒺藜
HN3586,红花
HN3631,五味子
HN3661,金银花
HN3663,罂粟壳
HN3677,小茴香
HN3725,八角茴香
HN3744,沉香
HN3769,人参叶
HN3780,降香
HN3786,化橘红
HN3788,大蓟
HN3804,小蓟
HN3862,紫草
HN3897,青叶胆
HN3931,明党参
HN3938,焦栀子
HN3945,金沸草
HN3968,牡荆叶
HN3986,白头翁
HN4042,川楝子
HN4066,蛇床子
HN4075,狼毒
HN4091,补骨脂
HN4113,百合
HN4147,连翘
HN4162,银柴胡
HN4182,苦地丁
HN4241,蓼大青叶
HN4301,千里光
HN4319,绵萆薢
HN4332,生姜
HN4391,天竺黄
HN4397,香薷
HN4423,伊贝母
HN4429,北沙参
HN4453,安息香
HN4454,追风七
HN4501,牛蒡子
HN4506,鸡骨草
HN4511,洋金花
HN4512,罗布麻叶
HN4529,川木香
HN4562,三颗针
HN4565,榼藤子
HN4577,萹蓄
HN4581,半枝莲
HN4648,满山红
HN4663,荜澄茄
HN4667,闹羊花
HN4668,前胡
HN4679,豆蔻
HN4701,厚朴
HN4709,升麻
HN4828,山慈菇
HN4849,土茯苓
HN4875,龙胆
HN4913,肉豆蔻
HN4923,甘草
HN4932,乌药
HN4990,雷公藤
HN4991,蔓荆子
HN5056,牵牛子
