id,name,source
HN3,蓍草,existing
HN16,大皂角,existing
HN30,青葙子,existing
HN33,商陆,existing
HN41,白果,existing
HN53,柿蒂,existing
HN148,细辛,existing
HN178,檀香,existing
HN180,吴茱萸,existing
HN185,黑种草子,existing
HN206,玄参,existing
HN226,何首乌,existing
HN230,党参,existing
HN334,青果,existing
HN352,豨莶草,existing
HN353,筋骨草,existing
HN392,灵芝,existing
HN402,益智,existing
HN412,鸡冠花,existing
HN422,肿节风,existing
HN465,桔梗,existing
HN486,夏枯草,existing
HN527,荜茇,existing
HN531,颠茄草,existing
HN552,赤芍,existing
HN555,麦冬,existing
HN578,预知子,existing
HN585,谷精草,existing
HN595,薄荷,existing
HN656,丝瓜络,existing
HN657,麻黄,existing
HN699,菊花,existing
HN754,竹茹,existing
HN844,葶苈子,existing
HN889,火麻仁,existing
HN927,巴戟天,existing
HN934,山柰,existing
HN950,草乌,existing
HN997,益母草,existing
HN1009,芥子,existing
HN1019,茯苓,existing
HN1104,荷叶,existing
HN1125,白茅根,existing
HN1133,冬凌草,existing
HN1174,茵陈,existing
HN1184,旋覆花,existing
HN1215,香附,existing
HN1297,白前,existing
HN1315,覆盆子,existing
HN1322,木贼,existing
HN1329,天冬,existing
HN1335,冬瓜皮,existing
HN1355,香加皮,existing
HN1380,苦木,existing
HN1382,柏子仁,existing
HN1392,芦根,existing
HN1418,人参,existing
HN1421,桃仁,existing
HN1426,金铁锁,existing
HN1431,浙贝母,existing
HN1436,土贝母,existing
HN1464,王不留行,existing
HN1519,西洋参,existing
HN1548,续断,existing
HN1565,胡芦巴,existing
HN1599,拳参,existing
HN1608,土木香,existing
HN1615,干姜,existing
HN1663,胡椒,existing
HN1677,黑豆,existing
HN1678,丁公藤,existing
HN1692,款冬花,existing
HN1693,姜黄,existing
HN1697,槐花,existing
HN1739,九里香,existing
HN1754,北刘寄奴,existing
HN1777,杠板归,existing
HN1780,黑芝麻,existing
HN1845,番泻叶,existing
HN1874,罗汉果,existing
HN1893,防风,existing
HN1896,地榆,existing
HN1915,土荆皮,existing
HN1986,酸枣仁,existing
HN2062,佩兰,existing
HN2072,石吊兰,existing
HN2078,杜仲叶,existing
HN2081,韭菜子,existing
HN2083,川贝母,existing
HN2151,青风藤,existing
HN2154,木香,existing
HN2187,砂仁,existing
HN2191,三七,existing
HN2242,枳壳,existing
HN2253,天南星,existing
HN2276,半夏,existing
HN2291,郁金,existing
HN2293,广金钱草,existing
HN2313,乳香,existing
HN2333,葛根,existing
HN2334,柴胡,existing
HN2341,合欢花,existing
HN2342,千金子,existing
HN2351,白附子,existing
HN2479,一枝黄花,existing
HN2506,辣椒,existing
HN2509,四季青,existing
HN2543,墨旱莲,existing
HN2552,花椒,existing
HN2598,鹅不食草,existing
HN2604,栀子,existing
HN2634,菊苣,existing
HN2637,仙鹤草,existing
HN2681,鸦胆子,existing
HN2707,使君子,existing
HN2714,芦荟,existing
HN2743,偏头七,existing
HN2789,鸭跖草,existing
HN2791,大蒜,existing
HN2792,木通,existing
HN2830,玫瑰花,existing
HN2867,虎杖,existing
HN2874,忍冬藤,existing
HN2900,红景天,existing
HN2911,仙茅,existing
HN2935,板蓝根,existing
HN2937,侧柏叶,existing
HN2944,菟丝子,existing
HN2980,大枣,existing
HN2986,川芎,existing
HN2993,北豆根,existing
HN3006,白屈菜,existing
HN3022,赤小豆,existing
HN3058,海藻,existing
HN3066,薏苡仁,existing
HN3077,急性子,existing
HN3105,大黄,existing
HN3126,艾叶,existing
HN3133,路路通,existing
HN3170,草果,existing
HN3191,山楂,existing
HN3193,金樱子,existing
HN3233,附子,existing
HN3238,白芷,existing
HN3240,苏合香,existing
HN3285,淡竹叶,existing
HN3300,棕榈,existing
HN3321,泽兰,existing
HN3325,月季花,existing
HN3334,乌梅,existing
HN3348,苦楝皮,existing
HN3383,蒲黄,existing
HN3394,甘遂,existing
HN3437,草豆蔻,existing
HN3440,芫花,existing
HN3485,车前草,existing
HN3506,紫花地丁,existing
HN3531,鹿衔草,existing
HN3548,香橼,existing
HN3564,蒺藜,existing
HN3586,红花,existing
HN3631,五味子,existing
HN3661,金银花,existing
HN3663,罂粟壳,existing
HN3677,小茴香,existing
HN3725,八角茴香,existing
HN3744,沉香,existing
HN3769,人参叶,existing
HN3780,降香,existing
HN3786,化橘红,existing
HN3788,大蓟,existing
HN3804,小蓟,existing
HN3862,紫草,existing
HN3897,青叶胆,existing
HN3931,明党参,existing
HN3938,焦栀子,existing
HN3945,金沸草,existing
HN3968,牡荆叶,existing
HN3986,白头翁,existing
HN4042,川楝子,existing
HN4066,蛇床子,existing
HN4075,狼毒,existing
HN4091,补骨脂,existing
HN4113,百合,existing
HN4147,连翘,existing
HN4162,银柴胡,existing
HN4182,苦地丁,existing
HN4241,蓼大青叶,existing
HN4301,千里光,existing
HN4319,绵萆薢,existing
HN4332,生姜,existing
HN4391,天竺黄,existing
HN4397,香薷,existing
HN4423,伊贝母,existing
HN4429,北沙参,existing
HN4453,安息香,existing
HN4454,追风七,existing
HN4501,牛蒡子,existing
HN4506,鸡骨草,existing
HN4511,洋金花,existing
HN4512,罗布麻叶,existing
HN4529,川木香,existing
HN4562,三颗针,existing
HN4565,榼藤子,existing
HN4577,萹蓄,existing
HN4581,半枝莲,existing
HN4648,满山红,existing
HN4663,荜澄茄,existing
HN4667,闹羊花,existing
HN4668,前胡,existing
HN4679,豆蔻,existing
HN4701,厚朴,existing
HN4709,升麻,existing
HN4828,山慈菇,existing
HN4849,土茯苓,existing
HN4875,龙胆,existing
HN4913,肉豆蔻,existing
HN4923,甘草,existing
HN4932,乌药,existing
HN4990,雷公藤,existing
HN4991,蔓荆子,existing
HN5056,牵牛子,existing
HN5069,地骨皮,existing
HN5105,徐长卿,existing
HN5109,枸骨叶,existing
HN5126,紫苏梗,existing
HN5138,桑枝,existing
HN5162,钩藤,existing
HN5209,龙眼肉,existing
HN5274,独一味,existing
HN5301,马钱子,existing
HN5331,锁阳,existing
HN5338,芡实,existing
HN5365,高良姜,existing
HN5411,岩白菜,existing
HN5454,藁本,existing
HN5471,荆芥,existing
HN5505,紫菀,existing
HN5530,牡丹皮,existing
HN5544,野木瓜,existing
HN5554,威灵仙,existing
HN5565,黄芩,existing
HN5566,枳实,existing
HN5568,冰片,existing
HN5591,菝葜,existing
HN5612,骨碎补,existing
HN5614,延胡索,existing
HN5622,莪术,existing
HN5652,佛手,existing
HN5658,合欢皮,existing
HN5698,海风藤,existing
HN5705,海藻,existing
HN5742,知母,existing
HN5749,黄连,existing
HN5775,丁香,existing
HN5813,槐角,existing
HN5820,木瓜,existing
