id,name,chinese_name,pinyin_name,latin_name,type,etcm_id
ETCM_herb_id_1,艾叶,艾叶,AI YE,Artemisia argyi Lévl.et Vant.,Plant medicine,1
ETCM_herb_id_2,安息香,安息香,AN XI XIANG,Styrax tonkinensis (Pierre) Craib ex Hart.,Plant medicine,2
ETCM_herb_id_3,八角茴香,八角茴香,BA JIAO HUI XIANG,Illicium verum Hook.f.,Plant medicine,3
ETCM_herb_id_4,巴豆,巴豆,BA DOU,Croton tiglium L.,Plant medicine,4
ETCM_herb_id_5,巴豆霜,巴豆霜,BA DOU SHUANG,Croton tiglium L.,Plant medicine,5
ETCM_herb_id_6,巴戟天,巴戟天,BA JI TIAN,Morinda officinalis How,Plant medicine,6
ETCM_herb_id_7,菝葜,菝葜,BA QIA,Smilax china L.,Plant medicine,7
ETCM_herb_id_8,白扁豆,白扁豆,BAI BIAN DOU,Dolichos Lablab L.,Plant medicine,8
ETCM_herb_id_9,白附子,白附子,BAI FU ZI,Typhonium giganteum Engl.,Plant medicine,9
ETCM_herb_id_10,白果,白果,BAI GUO,Ginkgo biloba L.,Plant medicine,10
ETCM_herb_id_11,白及,白及,BAI JI,Bletilla striata (Thunb. ) Reichb.f.,Plant medicine,11
ETCM_herb_id_12,白蔹,白蔹,BAI LIAN,Ampelopsis japonica ( Thunb. ) Makino,Plant medicine,12
ETCM_herb_id_13,白茅根,白茅根,BAI MAO GEN,Imperata cylindrica Beauv var. major(Nees) C.E.Hubb.,Plant medicine,13
ETCM_herb_id_14,白前,白前,BAI QIAN,Cynanchum stauntonii ( Decne. )Schltr. ex Lévl.;Cynanchum glaucescens(Dnecne. ) Hand.-Mazz.,Plant medicine,14
ETCM_herb_id_15,白屈菜,白屈菜,BAI QU CAI,Chelidonium majus L.,Plant medicine,15
ETCM_herb_id_16,白芍,白芍,BAI SHAO,Paeonia lactiflora Pall.,Plant medicine,16
ETCM_herb_id_17,白术,白术,BAI ZHU,Atractylodes macrocephala Koidz.,Plant medicine,17
ETCM_herb_id_18,白头翁,白头翁,BAI TOU WENG,Pulsatilla chinensis (Bge.) Regel,Plant medicine,18
ETCM_herb_id_19,白薇,白薇,BAI WEI,Cynunchum atratum Bge.;Cynanchum versicolor Bge.,Plant medicine,19
ETCM_herb_id_20,白鲜皮,白鲜皮,BAI XIAN PI,Dictamnus dasycarpus Turcz.,Plant medicine,20
ETCM_herb_id_21,白芷,白芷,BAI ZHI,Angelica dahurica ( Fisch.ex Hoffm. ) Benth. et Hook.f.;Angelica dahurica (Fisch.ex Hoffm.)Benth .et Hook.f.var.formosana(Boiss.）Shsn et Yuan,Plant medicine,21
ETCM_herb_id_22,百部,百部,BAI BU,"Stemona sesssilfolia(Miq.) Miq.;Stemona, japonicu ( Bl. ) Miq.;Stemona tuberosa Lour.",Plant medicine,22
ETCM_herb_id_23,百合,百合,BAI HE,Lilium lancifolium Thunb.;Lilium brownii F.E.Brown var.viridulum Baker;Lilium Pumilum DC.,Plant medicine,23
ETCM_herb_id_24,柏子仁,柏子仁,BAI ZI REN,Platycladus orientalis(L.)Franco,Plant medicine,24
ETCM_herb_id_25,板蓝根,板蓝根,BAN LAN GEN,Isatis indigotica Fort.,Plant medicine,25
ETCM_herb_id_26,半边莲,半边莲,BAN BIAN LIAN,Lobelia chinensis Lour.,Plant medicine,26
ETCM_herb_id_27,半夏,半夏,BAN XIA,Pinellia ternata (Thunb. )Breit.,Plant medicine,27
ETCM_herb_id_28,半枝莲,半枝莲,BAN ZHI LIAN,Scutellaria barbate D. Don,Plant medicine,28
ETCM_herb_id_29,薄荷,薄荷,BO HE,Mentha haplocalyx Briq.,Plant medicine,29
ETCM_herb_id_30,北豆根,北豆根,BEI DOU GEN,Menispermum dauricum DC.,Plant medicine,30
ETCM_herb_id_31,北刘寄奴,北刘寄奴,BEI LIU JI NU,Siphonostegia chinensis Benth.,Plant medicine,31
ETCM_herb_id_32,北沙参,北沙参,BEI SHA SHEN,Glenhnia littoralis Fr.Schmidtex Miq.,Plant medicine,32
ETCM_herb_id_33,荜茇,荜茇,BI BO,Piper longum L.,Plant medicine,33
ETCM_herb_id_34,荜澄茄,荜澄茄,BI CHENG QIE,Litsea cubeba(Lour.)Pers.,Plant medicine,34
ETCM_herb_id_35,蓖麻子,蓖麻子,BI MA ZI,Ricinus communis L.,Plant medicine,35
ETCM_herb_id_36,萹蓄,萹蓄,BIAN XU,Polygonum aviculare L.,Plant medicine,36
ETCM_herb_id_37,槟榔,槟榔,BIN LANG,Areca catechu L.,Plant medicine,37
ETCM_herb_id_38,冰片,冰片,BING PIAN,Blumea balsamifera DC.,Plant medicine,38
ETCM_herb_id_39,补骨脂,补骨脂,BU GU ZHI,Psoralea corylifolia L.,Plant medicine,39
ETCM_herb_id_40,苍耳子,苍耳子,CANG ER ZI,Xanthium sibrium Patr.,Plant medicine,40
ETCM_herb_id_41,苍术,苍术,CANG ZHU,AtrActylodes lancea (Thunb. )DC.;Atractylodes chinensis ( DC. ) Koidz.,Plant medicine,41
ETCM_herb_id_42,草豆蔻,草豆蔻,CAO DOU KOU,Alpinia katsumadai Hayata,Plant medicine,42
ETCM_herb_id_43,草果,草果,CAO GUO,Amomum tsao-ko Crevost et Lemaire,Plant medicine,43
ETCM_herb_id_44,草乌,草乌,CAO WU,Aconitum kusnezoffii Reichb.,Plant medicine,44
ETCM_herb_id_45,侧柏叶,侧柏叶,CE BAI YE,Platycladus orientalis (L.) Franco,Plant medicine,45
ETCM_herb_id_46,柴胡,柴胡,CHAI HU,Bupleurum chinense DC.;Buplrurum scorzonerifolium Willd.,Plant medicine,46
ETCM_herb_id_47,常山,常山,CHANG SHAN,Dichroa frbrifuga Lour.,Plant medicine,47
ETCM_herb_id_48,车前草,车前草,CHE QIAN CAO,Plantago asiatica L.;Plantago depressa Willd.,Plant medicine,48
ETCM_herb_id_49,车前子,车前子,CHE QIAN ZI,Plantago asiatica L.;Plantago depressa Willd.,Plant medicine,49
ETCM_herb_id_50,沉香,沉香,CHEN XIANG,Aquilaria sinensis (Lour.)Gilg,Plant medicine,50
ETCM_herb_id_51,陈皮,陈皮,CHEN PI,Citrus reticulata Blanco,Plant medicine,51
ETCM_herb_id_52,赤芍,赤芍,CHI SHAO,Paeonia lactiflora Pall.;Paeonia veitchii) Lynch,Plant medicine,52
ETCM_herb_id_53,赤小豆,赤小豆,CHI XIAO DOU,Vigna umbeuata Ohwi et Ohashi;Vigna angularis Ohwi et Ohashi,Plant medicine,53
