gene_index,gene_id
0,ETCM_Target_Genes_id_3
1,ETCM_Target_Genes_id_5
2,ETCM_Target_Genes_id_6
3,ETCM_Target_Genes_id_8
4,ETCM_Target_Genes_id_11
5,ETCM_Target_Genes_id_17
6,ETCM_Target_Genes_id_21
7,ETCM_Target_Genes_id_30
8,ETCM_Target_Genes_id_31
9,ETCM_Target_Genes_id_32
10,ETCM_Target_Genes_id_34
11,ETCM_Target_Genes_id_35
12,ETCM_Target_Genes_id_36
13,ETCM_Target_Genes_id_42
14,ETCM_Target_Genes_id_45
15,ETCM_Target_Genes_id_49
16,ETCM_Target_Genes_id_50
17,ETCM_Target_Genes_id_51
18,ETCM_Target_Genes_id_52
19,ETCM_Target_Genes_id_61
20,ETCM_Target_Genes_id_69
21,ETCM_Target_Genes_id_74
22,ETCM_Target_Genes_id_75
23,ETCM_Target_Genes_id_76
24,ETCM_Target_Genes_id_78
25,ETCM_Target_Genes_id_82
26,ETCM_Target_Genes_id_83
27,ETCM_Target_Genes_id_86
28,ETCM_Target_Genes_id_88
29,ETCM_Target_Genes_id_89
30,ETCM_Target_Genes_id_90
31,ETCM_Target_Genes_id_91
32,ETCM_Target_Genes_id_92
33,ETCM_Target_Genes_id_102
34,ETCM_Target_Genes_id_103
35,ETCM_Target_Genes_id_106
36,ETCM_Target_Genes_id_108
37,ETCM_Target_Genes_id_110
38,ETCM_Target_Genes_id_112
39,ETCM_Target_Genes_id_114
40,ETCM_Target_Genes_id_117
41,ETCM_Target_Genes_id_130
42,ETCM_Target_Genes_id_133
43,ETCM_Target_Genes_id_151
44,ETCM_Target_Genes_id_156
45,ETCM_Target_Genes_id_157
46,ETCM_Target_Genes_id_158
47,ETCM_Target_Genes_id_168
48,ETCM_Target_Genes_id_169
49,ETCM_Target_Genes_id_174
50,ETCM_Target_Genes_id_175
51,ETCM_Target_Genes_id_186
52,ETCM_Target_Genes_id_188
53,ETCM_Target_Genes_id_191
54,ETCM_Target_Genes_id_198
55,ETCM_Target_Genes_id_204
56,ETCM_Target_Genes_id_215
57,ETCM_Target_Genes_id_216
58,ETCM_Target_Genes_id_221
59,ETCM_Target_Genes_id_224
60,ETCM_Target_Genes_id_226
61,ETCM_Target_Genes_id_227
62,ETCM_Target_Genes_id_230
63,ETCM_Target_Genes_id_231
64,ETCM_Target_Genes_id_232
65,ETCM_Target_Genes_id_236
66,ETCM_Target_Genes_id_237
67,ETCM_Target_Genes_id_240
68,ETCM_Target_Genes_id_246
