item,count,note
all_treats_disease_edges_bidirectional,497660,Leak diagnostic: train and held-out disease-herb positives are inserted into the graph.
herbTOchemical.csv:has_component,24498,
herbTOeffect.csv:has_effect,27460,
herbTOflavor.csv:has_property,2060,
herbTOchannelTropism.csv:belongs_to_meridian,1904,
herb_disease_jaccard_edges,899,
disease_herb_jaccard_edges,24392,
diseaseTOgene_etcm_matched.csv:disease_associated_gene,137910,
herbTOgene_etcm_matched.csv:herb_associated_gene,93910,
herbTOchemical_etcm_matched.csv:has_component,162,
num_nodes,17683,
num_relations,16,
edge_count,810855,
train_disease_count,2703,
test_disease_count,2581,
candidate_herb_count,395,
