my_name,match_name,kdhr_id
艾叶,艾叶,HN3126
安息香,安息香,HN4453
八角茴香,八角茴香,HN3725
巴豆,巴豆,HN8081
巴豆霜,巴豆霜,HN8391
巴戟天,巴戟天,HN927
菝葜,菝葜,HN5591
白扁豆,白扁豆,HN6178
白附子,白附子,HN2351
白果,白果,HN41
白及,白及,HN6673
白蔹,白蔹,HN7196
白茅根,白茅根,HN1125
白前,白前,HN1297
白屈菜,白屈菜,HN3006
白芍,白芍,HN6072
白术,白术,HN7213
白头翁,白头翁,HN3986
白薇,白薇,HN8617
白鲜皮,白鲜皮,HN7792
白芷,白芷,HN3238
百部,百部,HN7741
百合,百合,HN4113
柏子仁,柏子仁,HN1382
板蓝根,板蓝根,HN2935
半边莲,半边莲,HN8044
半夏,半夏,HN2276
半枝莲,半枝莲,HN4581
薄荷,薄荷,HN595
北豆根,北豆根,HN2993
北刘寄奴,北刘寄奴,HN1754
北沙参,北沙参,HN4429
荜茇,荜茇,HN527
荜澄茄,荜澄茄,HN4663
蓖麻子,蓖麻子,HN6041
萹蓄,萹蓄,HN4577
槟榔,槟榔,HN8087
冰片,冰片,HN5568
冰片,冰片,HN6299
补骨脂,补骨脂,HN4091
苍耳子,苍耳子,HN8012
苍术,苍术,HN6990
草豆蔻,草豆蔻,HN3437
草果,草果,HN3170
草乌,草乌,HN950
侧柏叶,侧柏叶,HN2937
柴胡,柴胡,HN2334
常山,常山,HN7079
车前草,车前草,HN3485
车前子,车前子,HN8595
沉香,沉香,HN3744
陈皮,陈皮,HN6661
赤芍,赤芍,HN552
赤小豆,赤小豆,HN3022
川贝母,川贝母,HN2083
川楝子,川楝子,HN4042
川木通,川木通,HN8499
川木香,川木香,HN4529
川牛膝,川牛膝,HN8291
川乌,川乌,HN7629
川芎,川芎,HN2986
穿山龙,穿山龙,HN7253
穿心莲,穿心莲,HN6476
垂盆草,垂盆草,HN6918
刺五加,刺五加,HN8817
大黄,大黄,HN3105
大蓟,大蓟,HN3788
大青叶,大青叶,HN7018
大蒜,大蒜,HN2791
大血藤,大血藤,HN7845
大叶紫珠,大叶紫珠,HN7971
大枣,大枣,HN2980
大皂角,大皂角,HN16
丹参,丹参,HN6323
淡竹叶,淡竹叶,HN3285
当归,当归,HN6079
当药,当药,HN7102
党参,党参,HN230
刀豆,刀豆,HN8630
灯心草,灯心草,HN8261
灯盏细辛,灯盏细辛,HN7857
灯盏细辛,灯盏细辛,HN8302
地骨皮,地骨皮,HN5069
地黄,地黄,HN7142
地榆,地榆,HN1896
颠茄草,颠茄草,HN531
丁公藤,丁公藤,HN1678
丁香,丁香,HN5775
冬瓜皮,冬瓜皮,HN1335
冬凌草,冬凌草,HN1133
豆蔻,豆蔻,HN4679
独活,独活,HN5885
独一味,独一味,HN5274
杜仲,杜仲,HN7032
杜仲叶,杜仲叶,HN2078
莪术,莪术,HN5622
鹅不食草,鹅不食草,HN2598
番泻叶,番泻叶,HN1845
防风,防风,HN1893
防己,防己,HN9055
佛手,佛手,HN5652
茯苓,茯苓,HN1019
浮萍,浮萍,HN8131
附子,附子,HN3233
覆盆子,覆盆子,HN1315
甘草,甘草,HN4923
甘松,甘松,HN6444
甘遂,甘遂,HN3394
干姜,干姜,HN1615
杠板归,杠板归,HN1777
高良姜,高良姜,HN5365
藁本,藁本,HN5454
葛根,葛根,HN2333
钩藤,钩藤,HN5162
枸骨叶,枸骨叶,HN5109
枸杞子,枸杞子,HN7588
谷精草,谷精草,HN585
骨碎补,骨碎补,HN5612
瓜蒌,瓜蒌,HN5833
广藿香,广藿香,HN5993
广金钱草,广金钱草,HN2293
桂枝,桂枝,HN6241
海风藤,海风藤,HN5698
海金沙,海金沙,HN8125
海藻,海藻,HN3058
