:START_ID,:END_ID
ETCM_disease_id_2,ETCM_GeneSymbol_DNAJC19
ETCM_disease_id_2,ETCM_GeneSymbol_HMGCL
ETCM_disease_id_4,ETCM_GeneSymbol_HPD
ETCM_disease_id_4,ETCM_Target_Genes_id_1367
ETCM_disease_id_5,ETCM_GeneSymbol_OPLAH
ETCM_disease_id_6,ETCM_Target_Genes_id_1157
ETCM_disease_id_6,ETCM_GeneSymbol_ACTA2
ETCM_disease_id_6,ETCM_GeneSymbol_ELN
ETCM_disease_id_6,ETCM_GeneSymbol_FBN1
ETCM_disease_id_6,ETCM_GeneSymbol_FOXE3
ETCM_disease_id_6,ETCM_GeneSymbol_LOX
ETCM_disease_id_6,ETCM_GeneSymbol_MFAP5
ETCM_disease_id_6,ETCM_GeneSymbol_MYH11
ETCM_disease_id_6,ETCM_GeneSymbol_MYLK
ETCM_disease_id_6,ETCM_GeneSymbol_NSMCE2
ETCM_disease_id_6,ETCM_GeneSymbol_PRKG1
ETCM_disease_id_6,ETCM_GeneSymbol_PTPN22
ETCM_disease_id_6,ETCM_GeneSymbol_SMAD3
ETCM_disease_id_6,ETCM_GeneSymbol_TGFB2
ETCM_disease_id_6,ETCM_GeneSymbol_TGFB3
ETCM_disease_id_6,ETCM_GeneSymbol_TGFBR1
ETCM_disease_id_6,ETCM_GeneSymbol_TGFBR2
ETCM_disease_id_7,ETCM_GeneSymbol_ALAD
ETCM_disease_id_8,ETCM_GeneSymbol_ACTG2
ETCM_disease_id_8,ETCM_GeneSymbol_ARSA
ETCM_disease_id_8,ETCM_GeneSymbol_BRCA1
ETCM_disease_id_8,ETCM_GeneSymbol_COL2A1
ETCM_disease_id_8,ETCM_GeneSymbol_DDRGK1
ETCM_disease_id_8,ETCM_GeneSymbol_DUOX2
ETCM_disease_id_8,ETCM_GeneSymbol_DUOXA2
ETCM_disease_id_8,ETCM_GeneSymbol_DYNC2H1
ETCM_disease_id_8,ETCM_GeneSymbol_EWSR1
ETCM_disease_id_8,ETCM_GeneSymbol_FLNA
ETCM_disease_id_8,ETCM_GeneSymbol_FOXE1
ETCM_disease_id_8,ETCM_GeneSymbol_FSHR
ETCM_disease_id_8,ETCM_GeneSymbol_HESX1
ETCM_disease_id_8,ETCM_GeneSymbol_IFT80
ETCM_disease_id_8,ETCM_GeneSymbol_IL12A
ETCM_disease_id_8,ETCM_GeneSymbol_IL12RB1
ETCM_disease_id_8,ETCM_GeneSymbol_INSR
ETCM_disease_id_8,ETCM_GeneSymbol_IRF5
ETCM_disease_id_8,ETCM_GeneSymbol_ITGA6
ETCM_disease_id_8,ETCM_GeneSymbol_ITGB4
ETCM_disease_id_8,ETCM_GeneSymbol_IYD
ETCM_disease_id_8,ETCM_GeneSymbol_KRT18
ETCM_disease_id_8,ETCM_GeneSymbol_KRT8
ETCM_disease_id_8,ETCM_GeneSymbol_LHX3
ETCM_disease_id_8,ETCM_GeneSymbol_LHX4
ETCM_disease_id_8,ETCM_GeneSymbol_LIPA
ETCM_disease_id_8,ETCM_GeneSymbol_LMOD1
ETCM_disease_id_8,ETCM_GeneSymbol_LRP5
ETCM_disease_id_8,ETCM_GeneSymbol_MMEL1
ETCM_disease_id_8,ETCM_GeneSymbol_MNX1
ETCM_disease_id_8,ETCM_GeneSymbol_MYH11
ETCM_disease_id_8,ETCM_GeneSymbol_MYLK
ETCM_disease_id_8,ETCM_GeneSymbol_MYO5B
ETCM_disease_id_8,ETCM_GeneSymbol_NKX2-1
ETCM_disease_id_8,ETCM_GeneSymbol_NKX2-5
ETCM_disease_id_8,ETCM_GeneSymbol_NPHS1
ETCM_disease_id_8,ETCM_GeneSymbol_PAX8
ETCM_disease_id_8,ETCM_GeneSymbol_POLG
ETCM_disease_id_8,ETCM_GeneSymbol_POU1F1
ETCM_disease_id_8,ETCM_GeneSymbol_POU2AF1
ETCM_disease_id_8,ETCM_GeneSymbol_PRKCSH
ETCM_disease_id_8,ETCM_GeneSymbol_PROP1
ETCM_disease_id_8,ETCM_GeneSymbol_PSAP
ETCM_disease_id_8,ETCM_GeneSymbol_RRM2B
ETCM_disease_id_8,ETCM_GeneSymbol_SAR1B
ETCM_disease_id_8,ETCM_GeneSymbol_SEC63
ETCM_disease_id_8,ETCM_GeneSymbol_SLC26A2
ETCM_disease_id_8,ETCM_GeneSymbol_SLC26A3
ETCM_disease_id_8,ETCM_GeneSymbol_SLC26A4
ETCM_disease_id_8,ETCM_GeneSymbol_SLC2A2
ETCM_disease_id_8,ETCM_GeneSymbol_SLC5A1
ETCM_disease_id_8,ETCM_GeneSymbol_SLC5A5
ETCM_disease_id_8,ETCM_GeneSymbol_SLC9A3
ETCM_disease_id_8,ETCM_GeneSymbol_SPIB
ETCM_disease_id_8,ETCM_GeneSymbol_SPINT2
ETCM_disease_id_8,ETCM_GeneSymbol_STX3
ETCM_disease_id_8,ETCM_GeneSymbol_TCTN2
ETCM_disease_id_8,ETCM_GeneSymbol_TG
ETCM_disease_id_8,ETCM_GeneSymbol_THRA
ETCM_disease_id_8,ETCM_GeneSymbol_THRB
ETCM_disease_id_8,ETCM_GeneSymbol_TNFSF15
ETCM_disease_id_8,ETCM_GeneSymbol_TNPO3
ETCM_disease_id_8,ETCM_GeneSymbol_TPO
ETCM_disease_id_8,ETCM_GeneSymbol_TRIP11
ETCM_disease_id_8,ETCM_GeneSymbol_TRMU
ETCM_disease_id_8,ETCM_GeneSymbol_TSHB
ETCM_disease_id_8,ETCM_GeneSymbol_TSHR
ETCM_disease_id_8,ETCM_GeneSymbol_TTC7A
ETCM_disease_id_8,ETCM_GeneSymbol_TYMP
ETCM_disease_id_8,ETCM_GeneSymbol_WDR34
ETCM_disease_id_8,ETCM_GeneSymbol_WDR35
ETCM_disease_id_8,ETCM_GeneSymbol_WDR60
ETCM_disease_id_8,ETCM_GeneSymbol_WT1
ETCM_disease_id_8,ETCM_GeneSymbol_ZEB2
ETCM_disease_id_9,ETCM_GeneSymbol_NME1
ETCM_disease_id_11,ETCM_Target_Genes_id_6
ETCM_disease_id_11,ETCM_GeneSymbol_ABCC2
ETCM_disease_id_11,ETCM_Target_Genes_id_2219
ETCM_disease_id_11,ETCM_Target_Genes_id_2220
ETCM_disease_id_11,ETCM_GeneSymbol_ACTG2
ETCM_disease_id_11,ETCM_GeneSymbol_ADA2
ETCM_disease_id_11,ETCM_GeneSymbol_ALAD
ETCM_disease_id_11,ETCM_GeneSymbol_ALDOB
ETCM_disease_id_11,ETCM_GeneSymbol_APC
ETCM_disease_id_11,ETCM_GeneSymbol_BAZ1B
ETCM_disease_id_11,ETCM_GeneSymbol_BCL10
ETCM_disease_id_11,ETCM_GeneSymbol_BIRC3
ETCM_disease_id_11,ETCM_GeneSymbol_BMPR1A
ETCM_disease_id_11,ETCM_GeneSymbol_BRCA1
ETCM_disease_id_11,ETCM_GeneSymbol_BRCA2
ETCM_disease_id_11,ETCM_GeneSymbol_C4A
ETCM_disease_id_11,ETCM_GeneSymbol_CASR
ETCM_disease_id_11,ETCM_GeneSymbol_CCR1
ETCM_disease_id_11,ETCM_GeneSymbol_CD55
ETCM_disease_id_11,ETCM_GeneSymbol_CDH23
ETCM_disease_id_11,ETCM_GeneSymbol_CDKN2A
