:START_ID,:END_ID
HN3126,GJ5
HN3126,GJ3
HN3126,GJ2
HN4453,GJ3
HN4453,GJ2
HN4453,GJ1
HN3725,GJ5
HN3725,GJ3
HN8081,GJ7
HN8081,GJ6
HN8391,GJ7
HN8391,GJ6
HN927,GJ5
HN927,GJ2
HN5591,GJ5
HN5591,GJ2
HN6178,GJ6
HN6178,GJ3
HN2351,GJ6
HN2351,GJ2
HN41,GJ5
HN41,GJ4
HN6673,GJ4
HN7196,GJ3
HN7196,GJ2
HN7196,GJ1
HN1125,GJ8
HN1125,GJ6
HN1125,GJ4
HN1297,GJ7
HN1297,GJ6
HN1297,GJ2
HN3006,GJ6
HN3006,GJ4
HN6072,GJ6
HN6072,GJ5
HN7213,GJ6
HN7213,GJ3
HN3986,GJ7
HN3986,GJ6
HN3986,GJ2
HN8617,GJ6
HN8617,GJ5
HN8617,GJ2
HN7792,GJ9
HN7792,GJ6
HN7792,GJ3
HN3238,GJ7
HN3238,GJ6
HN3238,GJ4
HN7741,GJ4
HN4113,GJ4
HN4113,GJ1
HN1382,GJ3
HN1382,GJ2
HN1382,GJ1
HN2935,GJ6
HN2935,GJ1
HN8044,GJ8
HN8044,GJ4
HN8044,GJ1
HN2276,GJ6
HN2276,GJ3
HN4581,GJ5
HN4581,GJ4
HN4581,GJ2
HN595,GJ4
HN595,GJ2
HN2993,GJ7
HN2993,GJ6
HN2993,GJ4
HN1754,GJ3
HN1754,GJ1
HN4429,GJ4
HN4429,GJ3
HN527,GJ6
HN527,GJ3
HN4663,GJ5
HN4663,GJ3
HN6041,GJ7
HN6041,GJ4
HN4577,GJ9
HN8087,GJ7
HN8087,GJ6
HN8087,GJ3
HN5568,GJ4
HN5568,GJ1
HN4091,GJ5
HN8012,GJ4
HN8012,GJ2
HN6990,GJ6
HN6990,GJ3
HN3437,GJ6
HN3437,GJ3
HN3170,GJ6
HN3170,GJ3
HN950,GJ3
HN950,GJ2
HN950,GJ1
HN2937,GJ7
HN2937,GJ2
HN2937,GJ1
HN2334,GJ4
HN2334,GJ2
HN2334,GJ10
HN7079,GJ3
HN7079,GJ2
HN3485,GJ9
HN3485,GJ5
HN8595,GJ9
HN8595,GJ5
HN3744,GJ6
HN3744,GJ5
HN3744,GJ3
HN6661,GJ4
HN6661,GJ3
HN552,GJ3
HN552,GJ2
HN3022,GJ8
HN3022,GJ1
HN2083,GJ4
HN4042,GJ9
HN4042,GJ8
HN4042,GJ2
HN8499,GJ9
HN8499,GJ8
HN8499,GJ1
HN4529,GJ7
HN4529,GJ6
HN4529,GJ3
