:START_ID,:END_ID
HN3126,GX_1620
HN3126,GX_1788
HN3126,GX_1058
HN3126,GX_507
HN3126,GX_1254
HN3126,GX_869
HN3126,GX_1039
HN3126,GX_2277
HN3126,GX_1136
HN3126,GX_1367
HN3126,GX_1475
HN3126,GX_1459
HN3126,GX_2280
HN3126,GX_2318
HN3126,GX_443
HN3126,GX_1697
HN3126,GX_1775
HN3126,GX_1187
HN3126,GX_31
HN3126,GX_2279
HN3126,GX_1138
HN3126,GX_1060
HN3126,GX_1760
HN3126,GX_88
HN3126,GX_1194
HN3126,GX_52
HN3126,GX_2024
HN3126,GX_1513
HN3126,GX_2166
HN3126,GX_2073
HN3126,GX_654
HN3126,GX_1290
HN3126,GX_603
HN3126,GX_1132
HN3126,GX_412
HN3126,GX_1908
HN3126,GX_1426
HN3126,GX_1526
HN3126,GX_134
HN3126,GX_2339
HN3126,GX_231
HN3126,GX_2299
HN3126,GX_1125
HN3126,GX_391
HN3126,GX_1890
HN3126,GX_1559
HN3126,GX_1873
HN3126,GX_1056
HN3126,GX_72
HN3126,GX_672
HN3126,GX_838
HN3126,GX_1193
HN3126,GX_1866
HN3126,GX_1014
HN4453,GX_751
HN4453,GX_1638
HN4453,GX_1968
HN4453,GX_266
HN4453,GX_884
HN4453,GX_1225
HN4453,GX_186
HN4453,GX_1526
HN4453,GX_262
HN4453,GX_2173
HN4453,GX_648
HN4453,GX_933
HN4453,GX_533
HN4453,GX_541
HN4453,GX_425
HN4453,GX_2096
HN4453,GX_1398
HN4453,GX_1559
HN4453,GX_2279
HN4453,GX_1637
HN4453,GX_2121
HN4453,GX_1064
HN4453,GX_1493
HN4453,GX_1162
HN4453,GX_1574
HN4453,GX_2008
HN4453,GX_1088
HN4453,GX_1943
HN4453,GX_1721
HN4453,GX_2024
HN3725,GX_369
HN3725,GX_751
HN3725,GX_1535
HN3725,GX_1638
HN3725,GX_2147
HN3725,GX_1610
HN3725,GX_123
HN3725,GX_900
HN3725,GX_1759
HN3725,GX_242
HN3725,GX_31
HN3725,GX_108
HN3725,GX_721
HN3725,GX_1493
HN3725,GX_1709
HN3725,GX_1139
HN3725,GX_258
HN3725,GX_1434
HN3725,GX_1343
HN3725,GX_1987
HN3725,GX_2013
HN3725,GX_16
HN3725,GX_412
HN3725,GX_798
HN3725,GX_1908
HN3725,GX_2122
HN3725,GX_2346
HN3725,GX_1526
HN3725,GX_307
HN3725,GX_1097
HN3725,GX_1533
HN3725,GX_828
HN3725,GX_2310
HN3725,GX_1559
HN3725,GX_2036
HN8081,GX_1659
HN8081,GX_1278
HN8081,GX_729
HN8081,GX_1714
HN8081,GX_1254
HN8081,GX_1334
HN8081,GX_1724
HN8081,GX_2022
HN8081,GX_75
HN8081,GX_775
HN8081,GX_600
HN8081,GX_330
HN8081,GX_2214
HN8081,GX_2296
HN8081,GX_2165
HN8081,GX_242
HN8081,GX_575
HN8081,GX_300
HN8081,GX_779
HN8081,GX_2162
HN8081,GX_1628
HN8081,GX_2305
HN8081,GX_131
HN8081,GX_596
HN8081,GX_1943
HN8081,GX_998
HN8081,GX_1871
HN8081,GX_1821
HN8081,GX_171
HN8081,GX_509
HN8081,GX_1255
HN8081,GX_258
HN8081,GX_1419
HN8081,GX_1987
HN8081,GX_1915
HN8081,GX_195
HN8081,GX_1900
HN8081,GX_896
HN8081,GX_79
HN8081,GX_652
HN8081,GX_1369
HN8081,GX_648
HN8081,GX_1272
HN8081,GX_1772
HN8081,GX_1890
HN8081,GX_554
HN8081,GX_391
HN8081,GX_959
HN8081,GX_910
HN8081,GX_615
HN8081,GX_2042
HN8081,GX_436
HN8081,GX_918
HN8081,GX_372
HN8081,GX_942
HN8081,GX_465
HN8081,GX_449
HN8081,GX_2036
HN8081,GX_1952
HN8081,GX_2226
HN8081,GX_1975
HN8081,GX_830
HN8391,GX_1785
HN8391,GX_910
HN8391,GX_1266
HN8391,GX_1591
HN8391,GX_600
HN8391,GX_998
HN8391,GX_1412
HN8391,GX_1871
HN8391,GX_830
HN927,GX_1240
HN927,GX_2069
HN927,GX_2075
HN927,GX_1140
HN927,GX_751
HN927,GX_2196
HN927,GX_1214
HN927,GX_2091
HN927,GX_262
HN927,GX_1475
HN927,GX_294
HN927,GX_2275
HN927,GX_811
HN927,GX_286
HN927,GX_1208
HN927,GX_1199
HN927,GX_1697
HN927,GX_1757
HN927,GX_563
HN927,GX_526
HN927,GX_597
HN927,GX_669
HN927,GX_858
HN927,GX_589
HN927,GX_1336
HN927,GX_365
HN927,GX_1153
HN927,GX_464
HN927,GX_1032
HN927,GX_998
HN927,GX_1893
HN927,GX_2020
HN927,GX_1643
HN927,GX_683
HN927,GX_161
HN927,GX_1019
HN927,GX_1657
HN927,GX_1213
HN927,GX_2346
HN927,GX_1369
HN927,GX_611
HN927,GX_1097
HN927,GX_1895
HN927,GX_249
HN927,GX_828
HN927,GX_533
HN927,GX_400
HN927,GX_1611
HN927,GX_1857
HN927,GX_2341
HN927,GX_173
HN5591,GX_668
HN5591,GX_359
HN5591,GX_2196
HN5591,GX_419
HN5591,GX_2302
HN5591,GX_69
HN5591,GX_75
HN5591,GX_1475
HN5591,GX_1766
HN5591,GX_1524
HN5591,GX_424
HN5591,GX_1759
HN5591,GX_1199
HN5591,GX_242
HN5591,GX_541
HN5591,GX_1889
HN5591,GX_1365
HN5591,GX_762
HN5591,GX_589
HN5591,GX_1930
HN5591,GX_630
HN5591,GX_1153
HN5591,GX_2235
HN5591,GX_998
HN5591,GX_2216
HN5591,GX_171
HN5591,GX_2179
HN5591,GX_975
HN5591,GX_1090
HN5591,GX_434
HN5591,GX_1613
HN5591,GX_1304
HN5591,GX_974
HN5591,GX_1936
HN5591,GX_725
HN5591,GX_1915
HN5591,GX_74
HN5591,GX_78
HN5591,GX_1900
HN5591,GX_231
HN5591,GX_1557
HN5591,GX_2209
HN5591,GX_1918
HN5591,GX_1228
HN5591,GX_411
HN5591,GX_452
HN5591,GX_245
HN5591,GX_1256
HN5591,GX_1874
HN5591,GX_852
HN5591,GX_76
HN5591,GX_235
HN5591,GX_1664
HN5591,GX_2107
HN5591,GX_428
HN5591,GX_2324
HN5591,GX_1299
HN5591,GX_819
HN5591,GX_14
HN5591,GX_2202
HN6178,GX_1230
HN6178,GX_366
HN6178,GX_523
HN6178,GX_1475
HN6178,GX_882
HN6178,GX_1448
HN6178,GX_734
HN6178,GX_500
HN6178,GX_433
HN6178,GX_439
HN6178,GX_1307
HN6178,GX_2313
HN6178,GX_1298
HN6178,GX_1987
HN6178,GX_2189
HN6178,GX_619
HN6178,GX_976
HN6178,GX_1458
HN6178,GX_2
HN6178,GX_94
HN6178,GX_2245
HN6178,GX_14
HN2351,GX_2179
HN2351,GX_909
HN2351,GX_2259
HN2351,GX_1046
HN2351,GX_1634
HN2351,GX_1812
HN2351,GX_1281
HN2351,GX_600
HN2351,GX_262
HN2351,GX_940
HN2351,GX_1759
HN2351,GX_996
HN2351,GX_1199
HN2351,GX_458
HN2351,GX_763
HN2351,GX_322
HN2351,GX_1201
HN2351,GX_1344
HN2351,GX_309
HN2351,GX_1360
HN2351,GX_1088
HN2351,GX_1627
