:START_ID,:END_ID
HN3126,XW4
HN3126,XW37
HN3126,XW36
HN4453,XW4
HN4453,XW37
HN4453,XW36
HN3725,XW37
HN3725,XW36
HN3725,XW35
HN8081,XW37
HN8081,XW12
HN8391,XW37
HN8391,XW12
HN927,XW37
HN927,XW36
HN927,XW35
HN5591,XW7
HN5591,XW4
HN5591,XW35
HN5591,XW23
HN6178,XW36
HN6178,XW35
HN2351,XW37
HN2351,XW36
HN41,XW7
HN41,XW4
HN41,XW35
HN41,XW23
HN6673,XW4
HN6673,XW35
HN6673,XW25
HN7196,XW4
HN7196,XW37
HN7196,XW35
HN7196,XW25
HN1125,XW35
HN1125,XW31
HN1297,XW4
HN1297,XW36
HN3006,XW4
HN3006,XW25
HN6072,XW35
HN6072,XW31
HN7213,XW4
HN7213,XW36
HN7213,XW35
HN3986,XW4
HN3986,XW31
HN8617,XW4
HN8617,XW31
HN8617,XW22
HN7792,XW4
HN7792,XW31
HN3238,XW37
HN3238,XW36
HN7741,XW4
HN7741,XW36
HN7741,XW35
HN4113,XW35
HN4113,XW31
HN1382,XW35
HN1382,XW23
HN2935,XW4
HN2935,XW31
HN8044,XW37
HN8044,XW23
HN2276,XW37
HN2276,XW36
HN4581,XW4
HN4581,XW37
HN4581,XW31
HN595,XW37
HN595,XW25
HN2993,XW4
HN2993,XW31
HN1754,XW4
HN1754,XW36
HN4429,XW5
HN4429,XW4
HN4429,XW35
HN4429,XW25
HN527,XW37
HN527,XW12
HN4663,XW37
HN4663,XW36
HN6041,XW37
HN6041,XW35
HN6041,XW23
HN4577,XW4
HN4577,XW31
HN8087,XW4
HN8087,XW37
HN8087,XW36
HN5568,XW4
HN5568,XW37
HN5568,XW25
HN4091,XW37
HN4091,XW36
HN8012,XW36
HN8012,XW35
HN6990,XW4
HN6990,XW37
HN6990,XW36
HN3437,XW37
HN3437,XW36
HN3170,XW37
HN3170,XW36
HN950,XW4
HN950,XW37
HN950,XW12
HN2937,XW7
HN2937,XW4
HN2937,XW31
HN2334,XW4
HN2334,XW37
HN2334,XW31
HN7079,XW4
HN7079,XW37
HN7079,XW31
HN3485,XW35
HN3485,XW31
HN8595,XW35
HN8595,XW31
HN3744,XW4
HN3744,XW37
HN3744,XW36
HN6661,XW4
HN6661,XW37
HN6661,XW36
HN552,XW4
HN552,XW25
HN552,XW14
HN3022,XW35
HN3022,XW23
HN3022,XW14
HN2083,XW4
HN2083,XW35
HN2083,XW25
HN4042,XW4
HN4042,XW31
HN8499,XW4
HN8499,XW31
HN4529,XW4
HN4529,XW37
HN4529,XW36
HN8291,XW4
HN8291,XW35
HN8291,XW23
HN8291,XW14
HN7629,XW4
HN7629,XW37
HN7629,XW12
HN2986,XW37
HN2986,XW36
HN7253,XW4
HN7253,XW31
HN6476,XW4
HN6476,XW31
HN6918,XW35
HN6918,XW25
HN8817,XW4
HN8817,XW37
HN8817,XW36
HN3105,XW4
HN3105,XW31
HN3788,XW4
HN3788,XW35
HN3788,XW25
HN7018,XW4
HN7018,XW31
HN2791,XW37
HN2791,XW36
HN7845,XW4
HN7845,XW23
HN7971,XW4
HN7971,XW37
HN7971,XW23
HN2980,XW36
HN2980,XW35
HN16,XW37
HN16,XW36
HN16,XW22
HN6323,XW4
HN6323,XW36
HN3285,XW5
HN3285,XW35
HN3285,XW31
