:START_ID,:END_ID
HN3126,ETCM_Target_Genes_id_351
HN3126,ETCM_GeneSymbol_IGHG1
HN3126,ETCM_Target_Genes_id_1264
HN3126,ETCM_Target_Genes_id_835
HN3126,ETCM_GeneSymbol_NR1H4
HN3126,ETCM_GeneSymbol_ACOT13
HN3126,ETCM_Target_Genes_id_384
HN3126,ETCM_Target_Genes_id_1203
HN3126,ETCM_Target_Genes_id_74
HN3126,ETCM_GeneSymbol_CDK6
HN3126,ETCM_Target_Genes_id_523
HN3126,ETCM_Target_Genes_id_524
HN3126,ETCM_Target_Genes_id_525
HN3126,ETCM_Target_Genes_id_526
HN3126,ETCM_Target_Genes_id_527
HN3126,ETCM_Target_Genes_id_528
HN3126,ETCM_Target_Genes_id_534
HN3126,ETCM_Target_Genes_id_535
HN3126,ETCM_Target_Genes_id_536
HN3126,ETCM_GeneSymbol_MTTP
HN3126,ETCM_GeneSymbol_SOAT1
HN3126,ETCM_GeneSymbol_SOAT2
HN3126,ETCM_GeneSymbol_UGT3A1
HN3126,ETCM_Target_Genes_id_391
HN3126,ETCM_Target_Genes_id_392
HN3126,ETCM_Target_Genes_id_117
HN3126,ETCM_GeneSymbol_CLEC4E
HN3126,ETCM_Target_Genes_id_452
HN3126,ETCM_Target_Genes_id_453
HN3126,ETCM_Target_Genes_id_529
HN3126,ETCM_Target_Genes_id_530
HN3126,ETCM_Target_Genes_id_531
HN3126,ETCM_Target_Genes_id_532
HN3126,ETCM_Target_Genes_id_533
HN3126,ETCM_Target_Genes_id_537
HN3126,ETCM_Target_Genes_id_1869
HN3126,ETCM_GeneSymbol_GRIN1
HN3126,ETCM_Target_Genes_id_612
HN3126,ETCM_Target_Genes_id_613
HN3126,ETCM_Target_Genes_id_614
HN3126,ETCM_GeneSymbol_GRIN2D
HN3126,ETCM_Target_Genes_id_1987
HN3126,ETCM_GeneSymbol_GRIN3B
HN3126,ETCM_GeneSymbol_HSD17B1
HN3126,ETCM_GeneSymbol_LIP3
HN3126,ETCM_Target_Genes_id_825
HN3126,ETCM_GeneSymbol_NCOA2
HN3126,ETCM_Target_Genes_id_1522
HN3126,ETCM_GeneSymbol_NR1I3
HN3126,ETCM_Target_Genes_id_616
HN3126,ETCM_GeneSymbol_NR3C2
HN3126,ETCM_Target_Genes_id_1024
HN3126,ETCM_Target_Genes_id_1067
HN3126,ETCM_GeneSymbol_RORA
HN3126,ETCM_GeneSymbol_SIGMAR1
HN3126,ETCM_Target_Genes_id_1358
HN3126,ETCM_GeneSymbol_SULT2B1
HN3126,ETCM_GeneSymbol_VDR
HN3126,ETCM_GeneSymbol_NFKB1
HN3126,ETCM_GeneSymbol_NFKB2
HN3126,ETCM_GeneSymbol_LCN9
HN3126,ETCM_Target_Genes_id_298
HN3126,ETCM_GeneSymbol_ACTB
HN3126,ETCM_GeneSymbol_AHR
HN3126,ETCM_Target_Genes_id_69
HN3126,ETCM_GeneSymbol_ATP5A1
HN3126,ETCM_GeneSymbol_ATP5B
HN3126,ETCM_GeneSymbol_ATP5C1
HN3126,ETCM_GeneSymbol_CA1
HN3126,ETCM_Target_Genes_id_198
HN3126,ETCM_Target_Genes_id_1722
HN3126,ETCM_Target_Genes_id_191
HN3126,ETCM_GeneSymbol_CA3
HN3126,ETCM_GeneSymbol_CA4
HN3126,ETCM_GeneSymbol_CA5A
HN3126,ETCM_GeneSymbol_CA5B
HN3126,ETCM_GeneSymbol_CA6
HN3126,ETCM_GeneSymbol_CA7
HN3126,ETCM_GeneSymbol_CA9
HN3126,ETCM_Target_Genes_id_232
HN3126,ETCM_GeneSymbol_CEBPB
HN3126,ETCM_GeneSymbol_CSNK2A1
HN3126,ETCM_GeneSymbol_CSNK2B
HN3126,ETCM_Target_Genes_id_370
HN3126,ETCM_Target_Genes_id_350
HN3126,ETCM_GeneSymbol_DHFRL1
HN3126,ETCM_GeneSymbol_DNMT1
HN3126,ETCM_GeneSymbol_EIF3F
HN3126,ETCM_GeneSymbol_ESRRA
HN3126,ETCM_GeneSymbol_ESRRB
HN3126,ETCM_GeneSymbol_GPER1
HN3126,ETCM_GeneSymbol_HCK
HN3126,ETCM_GeneSymbol_HIBCH
HN3126,ETCM_GeneSymbol_HSP90AA1
HN3126,ETCM_Target_Genes_id_692
HN3126,ETCM_GeneSymbol_JAK1
HN3126,ETCM_GeneSymbol_KANSL3
HN3126,ETCM_GeneSymbol_NCOA1
HN3126,ETCM_GeneSymbol_NQO2
HN3126,ETCM_GeneSymbol_PIK3CG
HN3126,ETCM_GeneSymbol_PIM1
HN3126,ETCM_GeneSymbol_PRKACA
HN3126,ETCM_GeneSymbol_PRKCA
HN3126,ETCM_GeneSymbol_PRKCB
HN3126,ETCM_GeneSymbol_PTK2B
HN3126,ETCM_GeneSymbol_RUVBL2
HN3126,ETCM_GeneSymbol_SF3B3
HN3126,ETCM_Target_Genes_id_1335
HN3126,ETCM_GeneSymbol_STK17B
HN3126,ETCM_GeneSymbol_SYK
HN3126,ETCM_Target_Genes_id_1402
HN3126,ETCM_GeneSymbol_UBA1
HN3126,ETCM_GeneSymbol_BLLF1
HN3126,ETCM_GeneSymbol_FAAH
HN3126,ETCM_GeneSymbol_TRPV3
HN3126,ETCM_GeneSymbol_CTRB1
HN3126,ETCM_GeneSymbol_LCN2
HN3126,ETCM_Target_Genes_id_857
HN3126,ETCM_Target_Genes_id_36
HN3126,ETCM_Target_Genes_id_88
HN3126,ETCM_Target_Genes_id_103
HN3126,ETCM_Target_Genes_id_256
HN3126,ETCM_GeneSymbol_COX4I1
HN3126,ETCM_GeneSymbol_COX5A
HN3126,ETCM_GeneSymbol_COX5B
HN3126,ETCM_GeneSymbol_COX6A2
HN3126,ETCM_GeneSymbol_COX6B1
HN3126,ETCM_GeneSymbol_COX6C
HN3126,ETCM_GeneSymbol_COX7A1
HN3126,ETCM_GeneSymbol_COX7B
HN3126,ETCM_GeneSymbol_COX7C
HN3126,ETCM_GeneSymbol_COX8A
HN3126,ETCM_GeneSymbol_EFTUD1
HN3126,ETCM_GeneSymbol_ESRRG
HN3126,ETCM_GeneSymbol_FABP6
HN3126,ETCM_GeneSymbol_FECH
HN3126,ETCM_GeneSymbol_GPBAR1
HN3126,ETCM_GeneSymbol_GSTP1
HN3126,ETCM_Target_Genes_id_667
HN3126,ETCM_Target_Genes_id_686
HN3126,ETCM_Target_Genes_id_687
HN3126,ETCM_Target_Genes_id_684
HN3126,ETCM_GeneSymbol_IGHG2
HN3126,ETCM_Target_Genes_id_744
HN3126,ETCM_GeneSymbol_ITGB2
HN3126,ETCM_GeneSymbol_MT-CO1
HN3126,ETCM_GeneSymbol_MT-CO2
HN3126,ETCM_GeneSymbol_MT-CO3
HN3126,ETCM_GeneSymbol_NPPB
HN3126,ETCM_GeneSymbol_PLA2G1B
HN3126,ETCM_GeneSymbol_PRLR
HN3126,ETCM_Target_Genes_id_1156
HN3126,ETCM_GeneSymbol_AKR1D1
HN3126,ETCM_Target_Genes_id_169
HN3126,ETCM_Target_Genes_id_1786
HN3126,ETCM_GeneSymbol_CACNA1C
HN3126,ETCM_GeneSymbol_CACNA1D
HN3126,ETCM_GeneSymbol_CACNA1F
HN3126,ETCM_Target_Genes_id_204
HN3126,ETCM_GeneSymbol_CACNB1
HN3126,ETCM_GeneSymbol_CACNB2
HN3126,ETCM_GeneSymbol_CACNB3
HN3126,ETCM_GeneSymbol_CACNB4
HN3126,ETCM_Target_Genes_id_958
HN3126,ETCM_Target_Genes_id_1539
HN3126,ETCM_Target_Genes_id_1927
HN3126,ETCM_GeneSymbol_CRYZ
HN3126,ETCM_Target_Genes_id_402
HN3126,ETCM_GeneSymbol_VKORC1
HN3126,ETCM_GeneSymbol_IGKC
HN3126,ETCM_GeneSymbol_IGKV2-30
HN3126,ETCM_GeneSymbol_RXRA
HN3126,ETCM_GeneSymbol_TRPV1
HN3126,ETCM_Target_Genes_id_349
HN3126,ETCM_GeneSymbol_NR2F1
HN3126,ETCM_GeneSymbol_ATP2A1
HN3126,ETCM_GeneSymbol_HA
