:START_ID,:END_ID
823,ETCM_Target_Genes_id_1785
14034,ETCM_Target_Genes_id_3
12817,ETCM_Target_Genes_id_1616
13815,ETCM_Target_Genes_id_6
17294,ETCM_Target_Genes_id_1025
7956,ETCM_Target_Genes_id_1026
3574,ETCM_Target_Genes_id_1588
21346,ETCM_Target_Genes_id_1578
19022,ETCM_Target_Genes_id_2219
20405,ETCM_Target_Genes_id_2220
8701,ETCM_Target_Genes_id_8
10997,ETCM_Target_Genes_id_17
6698,ETCM_Target_Genes_id_21
1766,ETCM_Target_Genes_id_1962
11607,ETCM_Target_Genes_id_30
8584,ETCM_Target_Genes_id_31
17804,ETCM_Target_Genes_id_32
21199,ETCM_Target_Genes_id_42
8068,ETCM_Target_Genes_id_49
1353,ETCM_Target_Genes_id_50
2485,ETCM_Target_Genes_id_61
19544,ETCM_Target_Genes_id_1921
8420,ETCM_Target_Genes_id_2221
19977,ETCM_Target_Genes_id_1630
13843,ETCM_Target_Genes_id_86
7434,ETCM_Target_Genes_id_392
5306,ETCM_Target_Genes_id_69
10963,ETCM_Target_Genes_id_74
4771,ETCM_Target_Genes_id_1170
16829,ETCM_Target_Genes_id_75
20950,ETCM_Target_Genes_id_1521
15046,ETCM_Target_Genes_id_78
3353,ETCM_Target_Genes_id_76
19030,ETCM_Target_Genes_id_83
16520,ETCM_Target_Genes_id_1501
8442,ETCM_Target_Genes_id_1467
449,ETCM_Target_Genes_id_151
9079,ETCM_Target_Genes_id_82
20811,ETCM_Target_Genes_id_89
7142,ETCM_Target_Genes_id_90
13182,ETCM_Target_Genes_id_91
2579,ETCM_Target_Genes_id_92
11107,ETCM_Target_Genes_id_103
5804,ETCM_Target_Genes_id_1496
18207,ETCM_Target_Genes_id_106
6289,ETCM_Target_Genes_id_108
12584,ETCM_Target_Genes_id_2222
7076,ETCM_Target_Genes_id_2223
20582,ETCM_Target_Genes_id_114
13843,ETCM_Target_Genes_id_117
20808,ETCM_Target_Genes_id_117
19990,ETCM_Target_Genes_id_156
14356,ETCM_Target_Genes_id_157
15041,ETCM_Target_Genes_id_2126
10912,ETCM_Target_Genes_id_168
20201,ETCM_Target_Genes_id_169
4124,ETCM_Target_Genes_id_174
17300,ETCM_Target_Genes_id_188
774,ETCM_Target_Genes_id_198
20098,ETCM_Target_Genes_id_1722
7741,ETCM_Target_Genes_id_191
14894,ETCM_Target_Genes_id_204
16261,ETCM_Target_Genes_id_215
18954,ETCM_Target_Genes_id_221
17036,ETCM_Target_Genes_id_224
14981,ETCM_Target_Genes_id_226
9705,ETCM_Target_Genes_id_227
9666,ETCM_Target_Genes_id_230
20930,ETCM_Target_Genes_id_232
2155,ETCM_Target_Genes_id_236
10191,ETCM_Target_Genes_id_1251
3117,ETCM_Target_Genes_id_237
2617,ETCM_Target_Genes_id_292
16442,ETCM_Target_Genes_id_246
7689,ETCM_Target_Genes_id_247
9532,ETCM_Target_Genes_id_255
9873,ETCM_Target_Genes_id_1515
7804,ETCM_Target_Genes_id_257
4545,ETCM_Target_Genes_id_258
5985,ETCM_Target_Genes_id_1970
7679,ETCM_Target_Genes_id_265
13235,ETCM_Target_Genes_id_266
10705,ETCM_Target_Genes_id_267
456,ETCM_Target_Genes_id_268
17397,ETCM_Target_Genes_id_272
7425,ETCM_Target_Genes_id_273
1969,ETCM_Target_Genes_id_274
5985,ETCM_Target_Genes_id_275
11309,ETCM_Target_Genes_id_279
5965,ETCM_Target_Genes_id_1679
13381,ETCM_Target_Genes_id_290
1143,ETCM_Target_Genes_id_295
9352,ETCM_Target_Genes_id_298
5650,ETCM_Target_Genes_id_2227
12741,ETCM_Target_Genes_id_318
19599,ETCM_Target_Genes_id_321
13222,ETCM_Target_Genes_id_322
14787,ETCM_Target_Genes_id_334
10161,ETCM_Target_Genes_id_2141
13796,ETCM_Target_Genes_id_2182
12175,ETCM_Target_Genes_id_736
11246,ETCM_Target_Genes_id_2147
1564,ETCM_Target_Genes_id_728
8685,ETCM_Target_Genes_id_1464
11364,ETCM_Target_Genes_id_369
18944,ETCM_Target_Genes_id_370
14374,ETCM_Target_Genes_id_348
11199,ETCM_Target_Genes_id_349
16237,ETCM_Target_Genes_id_350
445,ETCM_Target_Genes_id_357
8294,ETCM_Target_Genes_id_360
15364,ETCM_Target_Genes_id_362
10791,ETCM_Target_Genes_id_1919
18688,ETCM_Target_Genes_id_363
12663,ETCM_Target_Genes_id_352
13976,ETCM_Target_Genes_id_364
2813,ETCM_Target_Genes_id_376
4545,ETCM_Target_Genes_id_258
11342,ETCM_Target_Genes_id_379
852,ETCM_Target_Genes_id_384
17156,ETCM_Target_Genes_id_390
10716,ETCM_Target_Genes_id_394
16318,ETCM_Target_Genes_id_397
13207,ETCM_Target_Genes_id_406
15357,ETCM_Target_Genes_id_414
2907,ETCM_Target_Genes_id_415
10501,ETCM_Target_Genes_id_416
6744,ETCM_Target_Genes_id_421
14098,ETCM_Target_Genes_id_425
10460,ETCM_Target_Genes_id_438
8387,ETCM_Target_Genes_id_448
8985,ETCM_Target_Genes_id_452
18499,ETCM_Target_Genes_id_452
18499,ETCM_Target_Genes_id_453
7240,ETCM_Target_Genes_id_459
16305,ETCM_Target_Genes_id_460
1879,ETCM_Target_Genes_id_478
7549,ETCM_Target_Genes_id_2140
5744,ETCM_Target_Genes_id_486
1129,ETCM_Target_Genes_id_505
3654,ETCM_Target_Genes_id_506
5029,ETCM_Target_Genes_id_509
6648,ETCM_Target_Genes_id_513
9334,ETCM_Target_Genes_id_515
14699,ETCM_Target_Genes_id_520
6965,ETCM_Target_Genes_id_1587
1772,ETCM_Target_Genes_id_523
20568,ETCM_Target_Genes_id_524
14744,ETCM_Target_Genes_id_525
10071,ETCM_Target_Genes_id_526
6380,ETCM_Target_Genes_id_528
20978,ETCM_Target_Genes_id_529
19013,ETCM_Target_Genes_id_530
19013,ETCM_Target_Genes_id_531
4870,ETCM_Target_Genes_id_531
5309,ETCM_Target_Genes_id_533
13517,ETCM_Target_Genes_id_534
15646,ETCM_Target_Genes_id_535
1030,ETCM_Target_Genes_id_536
4337,ETCM_Target_Genes_id_537
492,ETCM_Target_Genes_id_538
10233,ETCM_Target_Genes_id_539
18579,ETCM_Target_Genes_id_540
1580,ETCM_Target_Genes_id_541
19343,ETCM_Target_Genes_id_543
14916,ETCM_Target_Genes_id_548
18062,ETCM_Target_Genes_id_550
1483,ETCM_Target_Genes_id_558
12881,ETCM_Target_Genes_id_560
21056,ETCM_Target_Genes_id_567
8854,ETCM_Target_Genes_id_569
10048,ETCM_Target_Genes_id_570
9542,ETCM_Target_Genes_id_571
6513,ETCM_Target_Genes_id_571
9542,ETCM_Target_Genes_id_1750
10432,ETCM_Target_Genes_id_575
16641,ETCM_Target_Genes_id_579
19351,ETCM_Target_Genes_id_579
4307,ETCM_Target_Genes_id_588
6471,ETCM_Target_Genes_id_1564
14572,ETCM_Target_Genes_id_600
19519,ETCM_Target_Genes_id_601
13210,ETCM_Target_Genes_id_603
21412,ETCM_Target_Genes_id_606
14296,ETCM_Target_Genes_id_608
12211,ETCM_Target_Genes_id_614
17646,ETCM_Target_Genes_id_617
5873,ETCM_Target_Genes_id_618
7658,ETCM_Target_Genes_id_619
1839,ETCM_Target_Genes_id_622
13392,ETCM_Target_Genes_id_629
8178,ETCM_Target_Genes_id_630
10999,ETCM_Target_Genes_id_631
5251,ETCM_Target_Genes_id_646
5251,ETCM_Target_Genes_id_645
